p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.92641414150944	0.452	0.134	0	c10	TCF7
0	1.0949716778265	0.922	0.629	0	c10	DUSP2
0	1.81681286272125	0.395	0.125	0	c10	XCL1
0	3.69563878544357	0.211	0.021	0	c10	CAV1
0	2.3221595144852	0.24	0.055	0	c10	GNG4
0	2.6154610811716	0.194	0.033	0	c10	CHI3L2
0	3.87362892280687	0.11	0.012	0	c10	PMCH
0	4.50951563680767	0.07	0.004	0	c10	FXYD6
3.42819877677622e-307	2.05685957777443	0.251	0.061	1.14974930575521e-302	c10	TMEM9
1.77647573215591e-304	2.50324699437745	0.163	0.028	5.95794431050448e-300	c10	IGFBP2
8.94700973347868e-302	1.31100651255422	0.594	0.269	3.00064812441408e-297	c10	ZNF331
3.96196279458956e-301	2.68304197731043	0.138	0.02	1.32876308204945e-296	c10	B3GNT5
1.75428716478176e-297	1.55698765663458	0.592	0.284	5.88352829324505e-293	c10	CNIH1
2.86309036916637e-294	2.16831334420668	0.245	0.06	9.60223248011018e-290	c10	HMOX1
2.03019165183049e-288	2.08504631081321	0.195	0.04	6.8088567619091e-284	c10	ENC1
4.60285921133198e-280	1.4838911543659	0.664	0.357	1.54370692229652e-275	c10	GZMK
9.95637286798125e-254	2.22001061541079	0.185	0.041	3.33916833246355e-249	c10	FAAH2
1.70995839121689e-242	1.42904267393895	0.398	0.152	5.73485845246321e-238	c10	BANP
2.53817756110696e-236	1.17887429371053	0.549	0.258	8.51253990444051e-232	c10	CCR7
1.1306844556197e-226	2.13707398023853	0.246	0.073	3.79208952725735e-222	c10	ZBED2
6.80611326241181e-226	0.296588335285501	1	1	2.28263426594767e-221	c10	EEF1A1
1.83384320601167e-225	1.06468703685251	0.472	0.21	6.15034334432195e-221	c10	XCL2
3.30544298295589e-224	3.52849613603771	0.097	0.014	1.10857946762375e-219	c10	FXYD2
3.39386507740113e-223	2.15034574047554	0.155	0.032	1.13823446965879e-218	c10	L1CAM
2.70602559584856e-219	3.49652297673382	0.064	0.006	9.07546864335691e-215	c10	CDH1
6.89422851871902e-215	3.41197387008506	0.068	0.007	2.31218636060798e-210	c10	ADTRP
2.05896957280676e-209	2.5493954436172	0.141	0.029	6.90537215327933e-205	c10	CADM1
7.42669183577244e-209	4.58994082792116	0.058	0.005	2.49076390788136e-204	c10	ASCL1
2.15538841742341e-206	3.88383097869461	0.046	0.003	7.22874167435463e-202	c10	PPP2R3A
5.01245009567246e-195	1.54913072817407	0.236	0.073	1.68107551308663e-190	c10	DKK3
1.62171668121742e-193	3.57295398876883	0.05	0.004	5.43891340546699e-189	c10	LPL
2.76427326510078e-190	2.25035656471494	0.267	0.094	9.270819676495e-186	c10	NMB
1.68273415405998e-181	1.09973543764898	0.508	0.261	5.64355380588636e-177	c10	GEM
2.10317648061775e-181	1.30038884038812	0.453	0.221	7.0536332806958e-177	c10	SPN
3.28256745313177e-176	4.28319073664317	0.033	0.001	1.10090747243133e-171	c10	PHF21B
7.08298863752118e-176	0.636316133855826	0.936	0.821	2.37549272925185e-171	c10	DUSP4
1.94809766865435e-175	2.24320774674822	0.121	0.025	6.53352996113296e-171	c10	BEX3
2.41012190315061e-169	1.46660180577403	0.258	0.091	8.08306683878651e-165	c10	ITGAV
9.36613607569507e-166	0.913888352789743	0.515	0.269	3.14121471706661e-161	c10	PMAIP1
9.31191327555934e-163	1.64008986951492	0.179	0.052	3.12302947435709e-158	c10	AIF1
1.9459638601613e-159	1.96087739782946	0.134	0.032	6.52637359420897e-155	c10	SMARCD3
4.23790876840608e-157	1.14837395733826	0.453	0.227	1.42130984274803e-152	c10	APLP2
2.74227864285214e-155	1.63064137777344	0.243	0.088	9.19705411239751e-151	c10	BLVRB
8.77547462753715e-154	2.76072895650459	0.074	0.011	2.94311868058341e-149	c10	IL1RN
2.4587350874124e-152	0.925100083943749	0.701	0.466	8.24610573616372e-148	c10	TNFRSF9
2.88814984453224e-152	0.713374730641367	0.79	0.559	9.68627694859221e-148	c10	CREM
1.97717600350703e-149	0.821836637230223	0.669	0.428	6.63105288056189e-145	c10	RIC8A
1.50364444926484e-146	2.07871223134598	0.098	0.02	5.04292275394442e-142	c10	TMEM155
5.95810400097908e-144	1.68763258471544	0.167	0.05	1.99822891984836e-139	c10	GRAMD4
2.95813366371777e-143	1.2735965668887	0.33	0.147	9.92098868137667e-139	c10	CMTM7
2.60929038820658e-142	1.28755890322765	0.278	0.111	8.75103810396722e-138	c10	TSC22D1
1.46909580294177e-140	1.32748784091174	0.407	0.208	4.9270535039061e-136	c10	CMC1
1.69358592332768e-140	2.76912363524158	0.093	0.019	5.67994846965636e-136	c10	IRF8
9.06238782539956e-137	1.52757751920304	0.179	0.058	3.03934362888251e-132	c10	PCSK1N
5.28967657577874e-133	4.17974272239928	0.032	0.002	1.77405172998467e-128	c10	EPYC
4.74051301060195e-132	0.956852425813528	0.646	0.435	1.58987325349568e-127	c10	CRTAM
8.39991841245756e-131	2.51494433595801	0.071	0.012	2.81716463717002e-126	c10	BARX2
6.37323665760575e-129	1.94760558379933	0.121	0.032	2.13745611022782e-124	c10	ATL1
9.76544508414112e-129	0.613998022648129	0.893	0.772	3.27513497231925e-124	c10	CXCR4
2.28451590561529e-127	2.351841771455	0.086	0.017	7.66180944425255e-123	c10	CAMK2N1
5.096586758035e-126	0.60713241381571	0.776	0.546	1.70929326690978e-121	c10	STAT5A
1.13962528785726e-125	1.52247477871128	0.234	0.094	3.82207529041567e-121	c10	BCAT1
8.94278385333908e-124	0.702214237842937	0.798	0.616	2.99923084873286e-119	c10	TUBA4A
1.77764009307315e-117	0.818585235784341	0.648	0.433	5.96184934414872e-113	c10	CD27
5.56981499240137e-117	1.94995789662477	0.076	0.015	1.86800455215157e-112	c10	FCRL3
1.1625802508916e-116	2.67151299440676	0.048	0.006	3.89906164544026e-112	c10	MN1
6.12936695660558e-116	0.734877893962065	0.625	0.405	2.05566708990638e-111	c10	CXCR3
5.09530500519698e-115	1.35987558373085	0.205	0.078	1.70886339264296e-110	c10	ZDBF2
2.24263328007998e-114	0.48586165579849	0.967	0.893	7.52134349473223e-110	c10	LDHA
4.54075388495031e-114	3.1538277629718	0.035	0.003	1.52287803793464e-109	c10	CBFA2T3
2.00883187452134e-113	2.11646163642706	0.068	0.012	6.73722034076967e-109	c10	NOD2
4.68944748961925e-113	0.731524965276377	0.7	0.503	1.5727468990685e-108	c10	REL
7.04804335345438e-113	0.6824635062817	0.588	0.354	2.36377277988153e-108	c10	GGA2
2.67813812498935e-111	1.79038116886171	0.125	0.037	8.98193964358929e-107	c10	C16orf45
2.10155393282223e-110	1.65134592682803	0.129	0.039	7.04819157989918e-106	c10	DRAIC
1.55913481848331e-109	0.72758251824785	0.663	0.451	5.22902635422933e-105	c10	PSMD13
4.35795319185019e-107	0.785402187274459	0.503	0.294	1.46157034148272e-102	c10	PRKX
4.93626216940265e-107	0.966599126606799	0.361	0.187	1.65552360637426e-102	c10	TSHZ2
1.55320283472243e-106	0.31940607893134	1	0.991	5.20913166709209e-102	c10	RPLP0
7.19556619945847e-105	2.93542673043138	0.043	0.006	2.41324899197438e-100	c10	AL391056.1
1.48008399286517e-104	0.902475090083874	0.321	0.154	4.9639056952712e-100	c10	WHRN
1.91813327698254e-104	1.1184184431199	0.546	0.355	6.43303538434404e-100	c10	VCAM1
5.63315828342511e-103	1.21174861034232	0.187	0.071	1.88924862509511e-98	c10	ACOX3
5.68507342646614e-103	2.30413113841833	0.072	0.015	1.90665992576821e-98	c10	FGFR1
2.29524875376073e-101	0.530338655006923	0.374	0.195	7.69780527036272e-97	c10	NR4A2
4.54554097028948e-101	1.80176238299793	0.117	0.035	1.52448353061569e-96	c10	EPAS1
6.36228220267119e-101	1.56584135783854	0.124	0.038	2.13378220513186e-96	c10	PDGFA
1.00957361921278e-100	0.397771986498695	0.981	0.934	3.38590800411583e-96	c10	ACTG1
2.23783963030141e-99	1.31114487521334	0.178	0.067	7.50526655210488e-95	c10	ABAT
1.60750398972105e-98	0.627045715212581	0.655	0.441	5.39124688072645e-94	c10	USP11
2.05200644966972e-97	0.56103343560806	0.788	0.614	6.88201923090232e-93	c10	PPM1G
5.48898114554567e-97	1.19220429518592	0.295	0.147	1.84089449659311e-92	c10	IL9R
8.37479662729151e-97	2.3875193388184	0.047	0.007	2.80873929286103e-92	c10	ZBTB46
1.04066933669175e-96	2.18297905058519	0.083	0.02	3.49019682139679e-92	c10	TMEM121
8.9510505395302e-96	0.667533332773049	0.548	0.341	3.00200332994764e-91	c10	BICDL1
3.938040090806e-95	2.47008424227468	0.05	0.008	1.32073988565451e-90	c10	VIPR2
7.08524064019818e-95	1.0586517351853	0.315	0.161	2.37624800590966e-90	c10	CMSS1
5.13506454516576e-94	0.646785714385809	0.607	0.398	1.72219794715769e-89	c10	STARD7
7.15158247452643e-94	1.31164387551788	0.194	0.079	2.39849773030667e-89	c10	CHPT1
1.70631665245581e-93	0.937830656385822	0.353	0.188	5.72264478900628e-89	c10	EOMES
5.79353546429081e-93	1.28924388302409	0.186	0.075	1.94303592401385e-88	c10	SEMA4A
3.13699173788141e-92	1.72674018911926	0.115	0.036	1.05208428905067e-87	c10	GNA12
1.73782072773813e-91	0.980752087857313	0.209	0.088	5.82830315668815e-87	c10	NR4A3
4.46395322890178e-91	1.4151767416909	0.127	0.042	1.49712063390908e-86	c10	BEX2
4.81388529545252e-91	5.81147313974746	0.012	0	1.61448085038886e-86	c10	DIRAS3
2.88195882586831e-90	0.507118880939819	0.89	0.737	9.66551351019714e-86	c10	CST7
3.57851918436709e-90	0.274310911311494	0.998	0.984	1.20016376405303e-85	c10	RPL3
5.41023534806901e-90	0.30546859487003	0.995	0.971	1.81448473103538e-85	c10	OAZ1
3.30379578051726e-89	3.63027094355658	0.027	0.002	1.10802702886988e-84	c10	GNG8
7.44546004413921e-89	1.92552463111399	0.073	0.017	2.49705838960341e-84	c10	FLNB
1.44514228520092e-87	1.53881043611025	0.103	0.031	4.84671819610684e-83	c10	PON2
1.82936709811778e-87	2.05122006719179	0.06	0.012	6.13533137366741e-83	c10	MPP1
7.57118413580964e-87	0.869000554872949	0.343	0.183	2.53922373546784e-82	c10	BET1L
1.59127200732916e-85	3.57297042423793	0.023	0.002	5.33680805818053e-81	c10	PACSIN1
7.29068177568044e-85	0.263399765544825	0.997	0.985	2.44514885392771e-80	c10	RPS5
9.20743523550452e-85	0.616563374026391	0.58	0.379	3.08798962928351e-80	c10	SEC14L1
1.18968478792167e-83	2.85945165934632	0.031	0.004	3.98996484173169e-79	c10	CDHR1
3.17873067279724e-83	1.30264303929824	0.234	0.112	1.06608269304274e-78	c10	GK
3.70126991212662e-83	0.613404455839699	0.567	0.37	1.24133190312903e-78	c10	LYST
4.32495617389022e-83	0.429460101992611	0.915	0.762	1.4505038015993e-78	c10	LMNA
4.80181297223457e-83	0.715060163935084	0.398	0.227	1.61043203462803e-78	c10	YBX3
6.16006746009634e-83	0.535381451608317	0.796	0.644	2.06596342476711e-78	c10	PPP1R2
1.05206465915128e-82	1.62591275864417	0.092	0.027	3.52841445386156e-78	c10	NLRP6
6.96559508154353e-81	1.78333786572478	0.062	0.014	2.33612127844807e-76	c10	FGFBP2
6.86150867359525e-80	1.70610025930926	0.103	0.033	2.30121277895038e-75	c10	HES4
1.47706630855458e-79	1.01479537788128	0.174	0.071	4.95378498563035e-75	c10	IKZF2
4.74137396844192e-78	0.668970987401787	0.573	0.386	1.59016200153605e-73	c10	AP3S1
1.22786292969527e-77	4.34405272108354	0.014	0.001	4.118006693612e-73	c10	BTNL9
2.42200132977245e-77	0.704686681703913	0.444	0.27	8.12290805979084e-73	c10	RANGAP1
1.95536867374277e-76	2.22883670655417	0.044	0.008	6.55791545799849e-72	c10	PON3
2.94990515609963e-76	2.85080367126686	0.028	0.003	9.89339191252694e-72	c10	NUDT10
4.06350791170022e-75	0.574342221911685	0.555	0.365	1.36281928342602e-70	c10	CYSTM1
4.18046580378346e-75	0.428831588115892	0.87	0.721	1.4020446212729e-70	c10	GPX4
7.82689834944862e-75	2.79371918698684	0.027	0.003	2.62498516843808e-70	c10	AFF3
1.81453686189279e-74	2.03049848082359	0.054	0.012	6.08559372741604e-70	c10	MMP23B
5.69827116185401e-74	1.34551542918637	0.114	0.04	1.9110861822626e-69	c10	DRAM1
9.48964125931364e-74	0.523650541361376	0.784	0.624	3.18263588554861e-69	c10	SH2D2A
1.02963887435979e-73	1.01432044638863	0.28	0.149	3.45320285682785e-69	c10	MCM5
2.40282019834661e-73	0.474635928277817	0.783	0.63	8.05857838121485e-69	c10	STAT3
3.60150921539023e-73	0.632102773138933	0.637	0.465	1.20787416065757e-68	c10	LAT
6.593246729452e-72	0.36243265943254	0.948	0.89	2.21124308812361e-67	c10	CD8A
2.14831149640863e-71	0.973422309135844	0.194	0.088	7.20500709665528e-67	c10	PGRMC2
5.32116806692267e-71	0.663476398938401	0.485	0.313	1.78461334628452e-66	c10	CEMIP2
7.93294940117378e-71	0.228412305645547	1	0.999	2.66055257016566e-66	c10	RPS26
8.52254314330775e-71	0.338370534105325	0.97	0.928	2.85829051940255e-66	c10	EZR
1.93329765298425e-70	0.572493470599118	0.729	0.575	6.48389366857858e-66	c10	WSB1
3.31096576510968e-69	4.47439546887233	0.015	0.001	1.11043169830248e-64	c10	RBP1
