Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Oxidative phosphorylation	52/133	1.23965792094604e-28	3.6321977083719e-26	0	0	10.1209980726155	650.350510678834	NDUFA12;COX4I1;TCIRG1;COX7C;ATP6V1E1;ATP6V0E1;SDHC;NDUFC1;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;PPA1;NDUFS6;NDUFS2;NDUFB7;NDUFB10;UQCRB;COX15;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;ATP5F1A;ATP6V0E2;ATP5MG;ATP5MF;ATP5ME;ATP6V1F;ATP5PF;NDUFA8;ATP5PD;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;UQCRQ;NDUFAB1
Huntington disease	67/306	4.52075312984855e-20	6.62290333522812e-18	0	0	4.43839359153167	197.699468976946	NDUFA12;COX4I1;COX7C;BBC3;CASP8;PSMD4;AP2M1;SDHC;NDUFC1;WIPI2;SDHA;COX6B1;PSMA5;PSMA6;COX7A2L;PSMA4;CREB1;NDUFS8;NDUFS7;NDUFS6;VDAC3;NDUFS2;BECN1;NDUFB7;NDUFB10;UQCRB;DCTN2;HDAC1;NDUFB4;DCTN3;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;PSMB7;ATP5F1A;PSMB1;AP2S1;POLR2G;POLR2I;POLR2J;ATP5PF;NDUFA8;ATP5PD;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;SEM1;PSMC5;REST;UQCRQ;PSMC1;NDUFAB1;BAX
Parkinson disease	59/249	1.40190744787617e-19	1.3691962740924e-17	0	0	4.89592976498972	212.538592550669	NDUFA12;COX4I1;UBE2L6;PARK7;COX7C;UBE2L3;PSMD4;PRKACB;SDHC;NDUFC1;SDHA;COX6B1;PSMA5;PSMA6;COX7A2L;PSMA4;NDUFS8;NDUFS7;NDUFS6;VDAC3;NDUFS2;NDUFB7;NDUFB10;UQCRB;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;PSMB7;ATP5F1A;PSMB1;ATP5PF;NDUFA8;ATP5PD;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;SEM1;PSMC5;PINK1;UQCRQ;PSMC1;NDUFAB1;BAX;CALM3
Thermogenesis	56/232	4.75311463621347e-19	3.48165647102637e-17	0	0	5.00765914864137	211.27472516065	NDUFA12;COX4I1;COX7C;PRKACB;COA6;SDHC;NDUFC1;SDHA;COX6B1;COX7A2L;CREB1;NDUFS8;NDUFS7;NDUFS6;NDUFS2;COX19;NDUFB7;NDUFB10;UQCRB;COX15;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;ATP5F1A;COX14;SLC25A20;ATP5MG;ATP5MF;ATP5ME;COA4;SMARCE1;ATP5PF;COA3;NDUFA8;ATP5PD;COA1;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;UQCRQ;NDUFAB1
Diabetic cardiomyopathy	51/203	2.90669465295165e-18	1.69053674868454e-16	0	0	5.2651604242478	212.604624835763	NDUFA12;COX4I1;PIK3CD;COX7C;RAC2;CTSD;PDK2;PARP1;CYBA;SDHC;NDUFC1;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;VDAC3;NDUFS2;NDUFB7;NDUFB10;UQCRB;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;PDHB;COX5B;COX5A;UQCRH;ATP5F1A;ATP5PF;NDUFA8;ATP5PD;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;PPP1CA;UQCRQ;NDUFAB1
Prion disease	60/273	3.46184999730622e-18	1.69053674868454e-16	0	0	4.43955149760073	178.490962828854	NDUFA12;COX4I1;PIK3CD;COX7C;PSMD4;RAC2;PRKACB;CYBA;SDHC;NDUFC1;SDHA;COX6B1;PSMA5;PSMA6;COX7A2L;PSMA4;CREB1;NDUFS8;NDUFS7;NDUFS6;VDAC3;NDUFS2;NDUFB7;NDUFB10;UQCRB;ATF6B;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;PSMB7;ATP5F1A;CCL5;PSMB1;ATP5PF;NDUFA8;ATP5PD;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;SEM1;PSMC5;UQCRQ;PSMC1;NDUFAB1;BAX
Amyotrophic lateral sclerosis	69/364	4.37016622017191e-17	1.82922671787196e-15	0	0	3.69831669375435	139.312429774741	NDUFA12;COX4I1;COX7C;GLE1;TBK1;PSMD4;CASP1;GABARAPL2;ANXA11;SDHC;NDUFC1;WIPI2;SDHA;COX6B1;TNFRSF1A;PSMA5;PSMA6;COX7A2L;PSMA4;NDUFS8;NDUFS7;NDUFS6;CAT;NDUFS2;PFN1;OPTN;BECN1;NDUFB7;NDUFB10;UQCRB;DCTN2;NDUFB4;DCTN3;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;GABARAP;UQCRH;PSMB7;ATP5F1A;PSMB1;TPR;ATP5PF;NDUFA8;HNRNPA3;ATP5PD;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;SEM1;PSMC5;PINK1;UQCRQ;PSMC1;NDUFAB1;BAX
Non-alcoholic fatty liver disease	38/155	1.36418117940474e-13	4.99631356956986e-12	0	0	5.05084721598483	149.621508858705	NDUFB7;NDUFB10;UQCRB;NDUFA12;COX4I1;NDUFB4;NDUFB3;NDUFB2;PIK3CD;NDUFB1;COX7A2;FASLG;UQCR11;UQCR10;COX5B;COX7C;COX5A;UQCRH;CASP8;NDUFA8;NDUFA4;NDUFA3;NDUFA2;NDUFA1;SDHC;NDUFC1;SDHA;COX6C;COX6B1;TNFRSF1A;COX7A2L;NDUFS8;NDUFS7;UQCRQ;NDUFS6;NDUFAB1;NDUFS2;BAX
Pathways of neurodegeneration	72/475	1.3143384896876e-12	4.27890197198296e-11	0	0	2.81562103962769	77.0288808768423	NDUFA12;COX4I1;FASLG;UBE2L6;PARK7;COX7C;UBE2L3;TBK1;CASP8;PSMD4;CAPN2;GABARAPL2;NDUFC1;SDHC;WIPI2;SDHA;TNFRSF1A;COX6B1;PSMA5;PSMA6;COX7A2L;PSMA4;NDUFS8;NDUFS7;NDUFS6;CAT;VDAC3;NDUFS2;OPTN;BECN1;NDUFB7;UQCRB;NDUFB10;DCTN2;NDUFB4;NDUFB3;DCTN3;NDUFB2;ATP5MC2;NDUFB1;ATP5MC3;UQCR11;COX7A2;UQCR10;COX5B;COX5A;GABARAP;UQCRH;PSMB7;ATP5F1A;PSMB1;NDUFA8;ATP5PF;ATP5PD;NDUFA4;ATP5PB;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;SEM1;PSMC5;PINK1;CDK5;UQCRQ;PSMC1;NDUFAB1;BAX;CALM3
Alzheimer disease	61/369	1.68151048609649e-12	4.9268257242627e-11	0	0	3.10803460994788	84.2629476962319	NDUFA12;COX4I1;PIK3CD;COX7C;CASP8;PSMD4;CAPN2;SDHC;NDUFC1;WIPI2;SDHA;COX6B1;TNFRSF1A;PSMA5;PSMA6;COX7A2L;PSMA4;NDUFS8;NDUFS7;NDUFS6;VDAC3;NDUFS2;BECN1;NDUFB7;NDUFB10;UQCRB;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;APH1A;PSMB7;ATP5F1A;PSMB1;ATP5PF;NDUFA8;ATP5PD;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;SEM1;PSMC5;CDK5;UQCRQ;PSMC1;NDUFAB1;CALM3
