Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	63/158	2.43414447631725e-51	6.47482430700389e-49	0	0	21.122237713489	2461.63298971824	RPL4;RPL5;RPL30;RPL3;RPL32;RPL34;RPLP0;RPL10A;RPL8;RPL9;RPS15;RPS4X;RPS14;MRPL3;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL27;RPL26;RPL29;RPL28;RPL10;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS23
Coronavirus disease	66/232	7.43968265864663e-43	9.89477793600002e-41	0	0	12.6798909448109	1230.00433577182	RPL4;RPL5;RPL30;RPL3;RPL32;RPL34;RPLP0;PIK3CB;RPL8;RPL10A;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL27;RPL26;RPL29;RPL28;CFD;RPL10;RPL11;RPL36A;RELA;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;MYD88;RPS23
Pathways in cancer	37/531	2.15189615811798e-05	0.00190801459353127	0	0	2.23971145813251	24.0692295764641	NOTCH2;MGST3;PTGER2;TCF7;LAMA3;LEF1;PDGFB;CUL1;IL5RA;CXCR4;PIK3CB;RASGRP2;RELA;CCND3;CDH1;MYC;GNG7;STAT4;PIM1;STAT6;BID;RALGDS;IL13RA1;SKP1;GSTM3;TCF7L2;SMAD3;TGFB1;IFNGR2;FLT3LG;IL23A;RARA;ITGA6;KRAS;PLCB1;CALM1;IL7R
Shigellosis	21/246	8.31576774597118e-05	0.00552998555107083	0	0	2.76070175438596	25.9361636085456	CAST;TRADD;BNIP3;PXN;CUL1;ILK;PIK3CB;RELA;ARPC2;TNIP1;RRAGD;CAPN2;ITGA5;PFN1;PLCB1;RPS27A;CD44;PLCD1;MYD88;SKP1;PFN2
Rap1 signaling pathway	18/210	0.000248971168174238	0.0132452661468694	0	0	2.7649749614792	22.9442418392302	PRKCI;RGS14;PDGFB;PIK3CB;RASGRP2;GNAO1;AFDN;RAP1A;CDH1;RAPGEF2;KRAS;PFN1;CALM1;PLCB1;RALGDS;SIPA1;LAT;PFN2
JAK-STAT signaling pathway	15/162	0.000352865948965647	0.0135951874664471	0	0	3.00269187429573	23.8696658089907	IFNGR2;FHL1;PDGFB;IL5RA;PIK3CB;PIAS2;IL27RA;CCND3;IL23A;MYC;PIM1;STAT4;STAT6;IL7R;IL13RA1
Acute myeloid leukemia	9/67	0.000367326561509982	0.0135951874664471	0	0	4.54551409705482	35.9516496098671	TCF7L2;MYC;LEF1;TCF7;PIM1;RARA;KRAS;PIK3CB;RELA
FoxO signaling pathway	13/131	0.000442504755105715	0.0135951874664471	0	0	3.23686051935935	24.9984658908263	CDKN2D;PLK3;SMAD3;TGFB1;PRMT1;BNIP3;PIK3CB;KLF2;S1PR1;SGK3;KRAS;IL7R;S1PR4
Hematopoietic cell lineage	11/99	0.000459987545857232	0.0135951874664471	0	0	3.6671112804878	28.179224075534	CD5;CD19;IL5RA;FLT3LG;ITGA6;CD59;ITGA5;IL7R;MS4A1;CD44;CD55
Endometrial cancer	8/58	0.00064525730255741	0.0171638442480271	0	0	4.68176024279211	34.3915618610465	TCF7L2;CDH1;MYC;LEF1;TCF7;ILK;KRAS;PIK3CB
