Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Oxidative Phosphorylation	78/200	1.50481792734349e-29	7.52408963671745e-28	0	0	6.37784886045582	423.274203941555	GPI;ACAA2;MRPS11;COX4I1;MRPS12;ETFB;TCIRG1;MRPL34;PHB2;MPC1;ACADM;BCKDHA;ATP6V1G1;PHYH;ECH1;SDHC;SDHA;COX6B1;HADHB;HADHA;NDUFS8;NDUFS6;UQCRC1;VDAC3;NDUFS2;SUCLG1;VDAC1;SLC25A12;ISCU;NDUFB7;RETSAT;UQCRB;NDUFB5;NDUFB4;NDUFB3;TIMM13;ATP5MC2;NDUFB2;ATP5MC3;UQCR11;MRPL15;UQCR10;PDHB;COX5B;COX5A;UQCRH;MRPL11;ATP5MC1;PRDX3;LDHB;ATP5F1A;CYB5R3;COX11;CYC1;SLC25A20;NDUFV1;ATP5MG;ATP5MF;DECR1;ATP6V1F;ATP5ME;ATP5PF;NDUFA8;CYB5A;ATP5PB;MDH2;IDH3G;IDH1;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;CS;NDUFAB1;OGDH;ATP5PO;BAX
Allograft Rejection	55/200	1.51121337359673e-13	3.77803343399183e-12	0	0	3.73144216069305	110.154759674984	NCF4;CD3G;FASLG;CD3E;CXCL13;ITGAL;CD3D;ETS1;CCND3;IL18RAP;SIT1;TIMP1;B2M;MAP4K1;IFNAR2;EIF5A;CD96;IL4R;F2R;TAP1;IL16;NME1;ZAP70;IFNG;LCK;HCLS1;LCP2;CD47;WAS;CAPG;HIF1A;HLA-DMA;HLA-DMB;CCL5;ST8SIA4;CSK;GBP2;HLA-DQA1;CD74;FYB1;CDKN2A;GZMA;GZMB;CD2;PTPRC;IL7;IL2RA;CD7;EIF3J;IL2RB;HLA-DRA;KLRD1;DEGS1;PTPN6;EIF3A
Adipogenesis	51/200	2.52987002964362e-11	4.21645004940603e-10	0	0	3.35907323170307	81.9622873982366	MTCH2;ACAA2;ARAF;ETFB;SCP2;ACADM;BCKDHA;PHYH;JAGN1;ECH1;TALDO1;ELOVL6;SDHC;CAT;UQCRC1;CMPK1;SUCLG1;PPARG;PLIN2;TKT;MGLL;CD151;NDUFB7;RETSAT;UQCR11;MRPL15;UQCR10;LTC4S;TANK;AGPAT3;PRDX3;SAMM50;GPAT4;UCP2;CYC1;DECR1;MDH2;IDH3G;IDH1;SQOR;COQ9;DNAJC15;COQ5;CS;DHRS7;REEP5;CCNG2;NDUFAB1;ATP5PO;PDCD4;ESYT1
Interferon Gamma Response	49/200	2.80019231429896e-10	2.80019231429896e-09	0	0	3.18076977271003	69.9647298498513	IFITM3;OGFR;RTP4;SAMD9L;IFITM2;EIF4E3;SPPL2A;UBE2L6;MT2A;CASP8;EPSTI1;PIM1;ITGB7;B2M;ZBP1;IFNAR2;IL15RA;IL4R;TAP1;VAMP8;PLSCR1;IRF2;PSME1;TRIM14;TXNIP;LCP2;VAMP5;LY6E;MVP;FGL2;SRI;HIF1A;HLA-DMA;RNF213;CCL5;ST8SIA4;HLA-DQA1;GBP4;CD74;PTPN1;IL10RA;GZMA;PSMB8;PSMB9;BST2;IL7;IL2RB;PTPN6;HLA-DRB1
Myc Targets V1	49/200	2.80019231429896e-10	2.80019231429896e-09	0	0	3.18076977271003	69.9647298498513	PWP1;PHB2;UBE2L3;TXNL4A;ACP1;SMARCC1;RPL22;MRPS18B;NME1;PSMA6;PSMA4;PSMA1;CLNS1A;VDAC3;NHP2;VDAC1;ERH;SNRPA;HDAC2;SET;GLO1;CSTF2;COX5A;SRM;PRDX3;EXOSC7;PRDX4;PCBP1;PGK1;CYC1;BUB3;RANBP1;HNRNPA3;CBX3;NAP1L1;PA2G4;DEK;EIF2S2;LSM2;AIMP2;LSM7;COPS5;XPOT;APEX1;SERBP1;NDUFAB1;EIF3J;UBA2;SSBP1
Interferon Alpha Response	29/97	1.05511240928096e-08	8.79260341067465e-08	0	0	4.15423319894607	76.3009400560916	IFITM3;RTP4;OGFR;SAMD9L;IFITM2;UBE2L6;TMEM140;CASP8;EPSTI1;GBP2;B2M;GBP4;CD74;IL4R;TAP1;HLA-C;PARP9;PSMB8;PSMB9;BST2;PLSCR1;ELF1;IL7;IRF2;PSME1;TRIM14;TXNIP;CD47;LY6E
Fatty Acid Metabolism	36/158	4.34370798561435e-07	3.10264856115311e-06	0	0	2.87664955686198	42.1410959318626	ACAA2;RETSAT;HPGD;ECI2;UBE2L6;PDHB;LTC4S;HMGCL;LGALS1;AUH;UROD;ACADM;ACSS1;GLUL;DECR1;YWHAH;CBR3;CBR1;ACOT8;ADSL;MDH2;IDH3G;IDH1;ECH1;SDHC;MIF;SDHA;PRDX6;HADHB;GRHPR;APEX1;PSME1;ERP29;SUCLG2;SUCLG1;MGLL
Pperoxisome	23/104	8.18654988932027e-05	0.000511659368082517	0	0	2.75503888324401	25.9261085884194	SLC35B2;GSTK1;FIS1;FDPS;ACOT8;SMARCC1;ABCB1;RETSAT;CTBP1;IDH1;MVP;VPS4B;ECI2;ECH1;PEX11B;GNPAT;HMGCL;PRDX5;SCP2;CAT;TSPO;ITGB1BP1;YWHAH
PI3K/AKT/mTOR  Signaling	22/105	0.000264393569239139	0.00146885316243966	0	0	2.57008679880814	21.1725595098112	ACTR3;ACTR2;CAB39;YWHAB;PRKAG1;FASLG;IRAK4;HSP90B1;TNFRSF1A;PPP1CA;RPS6KA3;TBK1;ARPC3;LCK;MKNK1;CAMK4;RPS6KA1;PIN1;MAPK1;RAC1;PFN1;AP2M1
Reactive Oxygen Species Pathway	13/49	0.000449474896658551	0.00208933528562295	0	0	3.49363890375126	26.9269792274602	ABCC1;NDUFB4;LSP1;GLRX2;TXN;PRDX6;PRDX4;CAT;NDUFS2;MBP;HMOX2;FTL;LAMTOR5
IL-2/STAT5 Signaling	34/199	0.00045965376283705	0.00208933528562295	0	0	2.00184310638856	15.3842384236248	IFITM3;RNH1;ABCB1;RGS16;CTSZ;FGL2;CAPG;RORA;FURIN;ITGAE;CCND3;PIM1;LRRC8C;SNX9;DCPS;PHLDA1;GBP4;IL4R;GSTO1;IL10RA;FLT3LG;HIPK2;BATF;ADAM19;PLSCR1;P2RX4;SYT11;IL2RA;IL2RB;PLIN2;GALM;PLPP1;IL18R1;PLEC
mTORC1 Signaling	34/200	0.000504752665464325	0.00210313610610136	0	0	1.98967297762478	15.1044870484468	ERO1A;GPI;TFRC;SHMT2;USO1;FGL2;SLC1A4;ENO1;VLDLR;CORO1A;HSP90B1;ATP5MC1;SLC9A3R1;TBK1;PGK1;SSR1;SEC11A;CTSC;PSPH;ACTR3;ACTR2;EGLN3;SRD5A1;IDH1;ELOVL6;EIF2S2;UCHL5;SYTL2;PSMA4;COPS5;PPA1;TCEA1;CD9;GAPDH
Cholesterol Homeostasis	16/74	0.00122431005552868	0.00470888482895644	0	0	2.66991905976272	17.9028160275208	FDPS;ABCA2;PCYT2;ECH1;ANXA5;CLU;LGALS3;PLSCR1;ETHE1;PMVK;TP53INP1;CD9;PPARG;GUSB;S100A11;FDFT1
DNA Repair	26/150	0.00164142616381028	0.00586223629932244	0	0	2.03283161846496	13.0349021750559	TSG101;MPG;GMPR2;NT5C;DGUOK;POLD4;TMED2;TK2;POLR2G;POLR2J;SAC3D1;BCAP31;POLR3GL;GTF2H5;RBX1;DDB2;NME1;APRT;DAD1;ERCC4;POLR1D;HCLS1;ERCC5;VPS28;ITPA;ADA
p53 Pathway	32/200	0.00202863995658767	0.00633949986433646	0	0	1.84813384813385	11.459150044004	CYFIP2;RETSAT;CD82;PVT1;RGS16;RPS27L;NOL8;FOXO3;ZFP36L1;LDHB;HINT1;CCND3;PERP;CTSD;JUN;PMM1;PRMT2;CDKN2A;FUCA1;F2R;TAP1;DEF6;DDB2;VAMP8;WRAP73;TXNIP;BAX;S100A4;ERCC5;ADA;ISCU;MXD4
heme Metabolism	32/200	0.00202863995658767	0.00633949986433646	0	0	1.84813384813385	11.459150044004	NARF;TFRC;GYPC;EPB41;FOXO3;PPOX;CLCN3;AQP3;ADD1;CCDC28A;CCND3;UROD;UCP2;ACP5;PGLS;FBXO9;HTATIP2;CAST;BNIP3L;ARHGEF12;SMOX;EIF2AK1;NCOA4;RAD23A;TFDP2;CAT;TCEA1;HAGH;LRP10;OPTN;EZH1;TNRC6B
Hypoxia	31/200	0.00386392410794294	0.0107331225220637	0	0	1.77872507744095	9.88272460491761	ERO1A;GPI;CITED2;ZNF292;HDLBP;IRS2;RORA;ENO1;VLDLR;RBPJ;FOXO3;ETS1;MT2A;PRDX5;PIM1;PGK1;VHL;BNIP3L;JUN;ANXA2;MIF;GRHPR;COL5A1;XPNPEP1;CCNG2;MYH9;PLIN2;S100A4;GAPDH;MT1E;GALK1
Complement	31/200	0.00386392410794294	0.0107331225220637	0	0	1.77872507744095	9.88272460491761	CEBPB;WAS;CLU;RASGRP1;GNAI2;DOCK10;LGALS3;PPP4C;CSRP1;CTSL;SPOCK2;CCL5;TIMP2;PIM1;CTSH;FYN;TIMP1;CTSD;CTSC;GZMA;ANXA5;GZMB;PSMB9;EHD1;PLSCR1;XPNPEP1;LCK;IRF2;LCP2;PFN1;CD46
Apoptosis	25/161	0.00862477863978661	0.0226967858941753	0	0	1.78002945927967	8.4606864701695	IFITM3;RETSAT;ROCK1;DIABLO;FASLG;CLU;ADD1;LGALS3;GNA15;BCL2L11;CASP8;TIMP2;TSPO;CASP2;BMF;TIMP1;BCAP31;BNIP3L;JUN;F2R;TAP1;CD2;PDCD4;TXNIP;BAX
TGF-beta Signaling	11/54	0.010737570018616	0.0268439250465399	0	0	2.47131865809852	11.2049747871061	KLF10;FKBP1A;TJP1;SMAD3;FNTA;HDAC1;ID2;FURIN;RHOA;HIPK2;PPP1CA
Androgen Response	17/100	0.0117267691490684	0.0279208789263533	0	0	1.98065182983947	8.80574251441011	UBE2I;HPGD;TMEM50A;NCOA4;DBI;PA2G4;MYL12A;UBE2J1;CAMKK2;RPS6KA3;CCND3;CDK6;ZMIZ1;GPD1L;B2M;PLPP1;FKBP5
