# factor-levels: seurat_clusters=c1|c2|c3|c4|c5|c6|c7|c8|c9|c10|c11|c12|c13

p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	9.18031624834484	0.141	0	0	KIF18B	c13
0	8.98008353195661	0.289	0	0	SPC25	c13
0	8.51928414655178	0.728	0.003	0	PKMYT1	c13
0	8.44800040913124	0.273	0	0	DLGAP5	c13
0	8.36305413342243	0.096	0	0	KIF20A	c13
0	8.14249431799145	0.521	0.002	0	BIRC5	c13
0	7.90477499881667	0.115	0	0	CDC25C	c13
0	7.86608067503907	0.392	0.001	0	MCM10	c13
0	7.84469393439382	0.342	0.001	0	HJURP	c13
0	7.80526646604107	0.461	0.002	0	HIST1H3B	c13
0	7.69087337984252	0.519	0.002	0	GTSE1	c13
0	7.59201875966216	0.312	0.001	0	ESCO2	c13
0	7.51174777299541	0.676	0.003	0	CDCA5	c13
0	7.50395333834882	0.505	0.003	0	AURKB	c13
0	7.44061824140598	0.038	0	0	C2orf48	c13
0	7.4003087276258	0.772	0.006	0	UBE2C	c13
0	7.39561373507674	0.229	0.001	0	E2F8	c13
0	7.39204728831401	0.442	0.001	0	KIF2C	c13
0	7.36757911735244	0.581	0.004	0	UHRF1	c13
0	7.33612019354511	0.522	0.003	0	RRM2	c13
0	7.26662387311541	0.379	0.001	0	SKA3	c13
0	7.22612881221589	0.207	0.001	0	HIST1H3F	c13
0	7.1911404956615	0.318	0.001	0	CENPA	c13
0	7.18793162462632	0.423	0.003	0	MYBL2	c13
0	7.18204194780274	0.222	0.001	0	HIST1H3G	c13
0	7.10455707413307	0.377	0.001	0	SKA1	c13
0	6.97060782024914	0.42	0.003	0	TROAP	c13
0	6.94776210817562	0.109	0	0	AUNIP	c13
0	6.92895414367368	0.195	0.001	0	SPC24	c13
0	6.88573244655817	0.322	0.002	0	RAD54L	c13
0	6.69745367974702	0.437	0.003	0	CDC45	c13
0	6.68242826187251	0.173	0.001	0	POLQ	c13
0	6.6646629351059	0.31	0.001	0	KIF15	c13
0	6.60330718024632	0.327	0.003	0	MND1	c13
0	6.56952008462779	0.239	0.001	0	DIAPH3	c13
0	6.5492995251113	0.64	0.005	0	KIFC1	c13
0	6.49996767839665	0.816	0.014	0	MKI67	c13
1.1629763479347e-299	6.47600214461653	0.035	0	3.9003900757034e-295	SYCE2	c13
0	6.46221072944198	0.162	0.001	0	TEDC2	c13
0	6.38068143678569	0.283	0.003	0	HIST1H3C	c13
0	6.34354183766084	0.27	0.002	0	ANLN	c13
0	6.3427440941396	0.177	0.001	0	PBK	c13
0	6.29280862673365	0.036	0	0	AC007240.1	c13
0	6.25049395607704	0.102	0.001	0	ERCC6L	c13
0	6.2280006453782	0.223	0.001	0	E2F2	c13
0	6.22612823112529	0.51	0.007	0	HIST1H1B	c13
0	6.17698707017798	0.399	0.003	0	SHCBP1	c13
0	6.14158995108584	0.052	0	0	IQGAP3	c13
0	6.13226346037888	0.353	0.004	0	CDC20	c13
0	6.1198313310631	0.3	0.003	0	HIST1H2AH	c13
0	6.07933788632648	0.367	0.003	0	FAM111B	c13
0	6.02485099240475	0.628	0.008	0	ZWINT	c13
0	5.97867240430832	0.051	0	0	PIMREG	c13
0	5.97485116832054	0.578	0.007	0	ASPM	c13
0	5.96624313843845	0.476	0.005	0	NUF2	c13
0	5.92579262186661	0.841	0.02	0	CDT1	c13
0	5.88255676328883	0.296	0.002	0	EXO1	c13
0	5.84678014256754	0.596	0.01	0	PCLAF	c13
0	5.84064304191367	0.449	0.006	0	CCNB2	c13
0	5.82362543501891	0.489	0.005	0	DTL	c13
0	5.80763523517844	0.071	0.001	0	EME1	c13
8.30507712634877e-159	5.74936371771675	0.021	0	2.78535676663485e-154	ZNF695	c13
0	5.73335285994068	0.294	0.003	0	NEIL3	c13
0	5.68324592892679	0.513	0.009	0	CCNA2	c13
0	5.65659760846984	0.272	0.003	0	ORC1	c13
0	5.59738293854618	0.085	0.001	0	TICRR	c13
0	5.59189890868616	0.253	0.002	0	MTFR2	c13
0	5.56528768816285	0.288	0.003	0	DSCC1	c13
0	5.54465630332424	0.243	0.002	0	CDCA3	c13
0	5.52604181221796	0.451	0.005	0	SGO1	c13
0	5.51055520134844	0.257	0.002	0	TTK	c13
0	5.50968899594685	0.318	0.004	0	BRCA1	c13
0	5.50745287908423	0.32	0.003	0	STIL	c13
3.78189400619085e-163	5.47471551769434	0.022	0	1.26837161179629e-158	AP000251.1	c13
0	5.4393451013055	0.175	0.002	0	ESPL1	c13
0	5.42117441674142	0.294	0.003	0	CEP55	c13
0	5.39402286378097	0.285	0.003	0	CDCA2	c13
0	5.38694670343824	0.431	0.006	0	MELK	c13
0	5.38640971115869	0.103	0.001	0	DEPDC1	c13
0	5.38077461521778	0.365	0.005	0	CDC6	c13
0	5.35542063876571	0.452	0.007	0	RMI2	c13
0	5.35316189156555	0.58	0.009	0	RAD51AP1	c13
0	5.31700370297368	0.184	0.002	0	HIST1H2AJ	c13
0	5.31477535691142	0.082	0.001	0	CCDC150	c13
0	5.31190693611217	0.068	0.001	0	FBXO43	c13
0	5.28933350540957	0.667	0.018	0	TK1	c13
0	5.27587900707621	0.854	0.043	0	TYMS	c13
0	5.26431414313261	0.087	0.001	0	XRCC2	c13
2.59789561986868e-168	5.23129418498938	0.022	0	8.71282232991557e-164	AC008543.1	c13
0	5.1947569227696	0.662	0.015	0	ASF1B	c13
0	5.12766860679965	0.164	0.002	0	C21orf58	c13
0	5.11980264112327	0.244	0.003	0	KIF14	c13
0	5.08621862764502	0.166	0.004	0	PLK1	c13
0	5.04583748095798	0.563	0.01	0	CDCA8	c13
0	4.99847969914224	0.066	0.001	0	RAD51	c13
0	4.99097555161629	0.106	0.002	0	HIST1H2BM	c13
0	4.97455845902477	0.357	0.006	0	FOXM1	c13
0	4.97180917061477	0.359	0.009	0	HIST1H2AL	c13
0	4.95759600577001	0.575	0.011	0	ORC6	c13
0	4.91950687530691	0.201	0.003	0	KIF4A	c13
0	4.91931904146363	0.448	0.01	0	GINS2	c13
0	4.89648396668834	0.227	0.004	0	TRAIP	c13
0	4.89084393404775	0.489	0.012	0	DHFR	c13
8.28630879243149e-79	4.886319882409	0.013	0	2.77906224280567e-74	TMSB15A	c13
0	4.88097581885797	0.573	0.014	0	NCAPG	c13
3.23894651418066e-104	4.87377305364573	0.016	0	1.08627788192591e-99	AL133215.2	c13
0	4.82893523628834	0.742	0.022	0	CENPU	c13
0	4.73650888468161	0.161	0.003	0	PRR11	c13
2.17692171189416e-202	4.73641547377131	0.037	0.001	7.30096003735062e-198	HIST1H4L	c13
0	4.66835879510015	0.158	0.003	0	CIT	c13
0	4.66411578559075	0.151	0.004	0	HIST1H2AB	c13
0	4.66346557519065	0.139	0.003	0	HIST1H4D	c13
0	4.63694238898103	0.566	0.015	0	CKAP2L	c13
0	4.60982681281762	0.267	0.009	0	HIST2H2AB	c13
0	4.59343536717591	0.201	0.005	0	HIST1H2AI	c13
0	4.56944682247392	0.278	0.006	0	C17orf53	c13
0	4.56609270369832	0.118	0.002	0	RAD54B	c13
0	4.56056240013941	0.126	0.002	0	KIF24	c13
0	4.52495021785467	0.425	0.011	0	E2F1	c13
0	4.51102710024073	0.184	0.004	0	RECQL4	c13
1.16833274727339e-224	4.51016504981139	0.042	0.001	3.91835436780549e-220	DMC1	c13
0	4.48522420638236	0.171	0.003	0	WDR62	c13
0	4.48402869126013	0.196	0.004	0	HMMR	c13
0	4.48211359476997	0.679	0.025	0	CDK1	c13
0	4.4784508071842	0.669	0.021	0	CENPW	c13
0	4.46160190926591	0.254	0.006	0	MXD3	c13
1.91095394156436e-113	4.45871984561963	0.021	0	6.40895732921856e-109	AC002310.2	c13
0	4.45350349600352	0.305	0.01	0	APOBEC3B	c13
0	4.44634252712839	0.347	0.008	0	PLK4	c13
0	4.41202905068319	0.171	0.003	0	GINS1	c13
0	4.37829491850762	0.176	0.003	0	NEK2	c13
