Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Ribosome	62/158	6.18482945549584e-54	1.59568599951793e-51	24.2369336569579	2969.44841243397	RPS8;RPL21;RPS9;RPS6;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL14;RPS5;RPL17;RPS2;RPS3;RPL19;RPL18;RPL41;RPS27;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPL5;RPL6;RPL3;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL8;RPS16;RPS15;MRPL3;RPS18;RPL37;RPL36;RPL39;RPS10;RPL38;RPS12;RPS14;RPS13;RPL13A;RPS3A;RPL36A;RPS15A;RPS27A;RPL35A;RPL23A;RPLP0;RPLP2;RPL10A;RPS4X;RPL18A;RPL7A	1	KEGG_2021_Human
Coronavirus disease	64/232	1.41448124500514e-44	1.82468080605663e-42	14.2987097373062	1443.69755779086	RPL21;RPL26;RPL28;RPL27;RPL29;RPL11;RPL10;RPL13;RPL14;RPL17;RPL19;RPL18;RPL41;RPS27;RPS29;RPS28;RPL27A;RPS21;RPS20;RPS23;RPS25;RPL5;RPL6;RPL3;RPL30;RPL4;RPL32;RPL35;RPL34;RPL9;RPL8;RPS16;RPS15;RPS18;RPL37;RPL36;RPL39;RPS10;RPL38;RPS12;RPS14;RPS13;RPS15A;RPS27A;RPLP0;RPLP2;RPL18A;RPS8;RPS9;RPS6;RELA;RPS5;RPS2;RPS3;MYD88;RPL13A;RPS3A;PIK3CB;RPL36A;RPL35A;RPL23A;RPL10A;RPS4X;RPL7A	2	KEGG_2021_Human
FoxO signaling pathway	13/131	0.000108581042524784	0.00727344205148058	3.77096105301118	34.4213842599754	TGFB1;S1PR1;S1PR4;SMAD3;GABARAPL1;PLK3;IL7R;PIK3CB;SGK3;CDKN2D;PRMT1;KLF2;BNIP3	3	KEGG_2021_Human
Leukocyte transendothelial migration	12/114	0.000112766543433808	0.00727344205148058	4.02311296199896	36.5708646906316	ACTN1;NCF1;JAM3;EZR;PXN;F11R;CD99;PIK3CB;RAP1A;SIPA1;CXCR4;PTK2B	4	KEGG_2021_Human
Shigellosis	18/246	0.000300618681991091	0.0155119239907403	2.71090292816119	21.9845225475324	ACTN1;PLCD1;PFN1;GABARAPL1;SKP1;RPS27A;CD44;RELA;CAPN2;CAST;MYD88;ARPC2;PXN;ITGA5;TNIP1;PIK3CB;TRADD;BNIP3	5	KEGG_2021_Human
Acute myeloid leukemia	8/67	0.000667375195982668	0.0286971334272547	4.61445890798606	33.7416533463957	PIK3CB;RARA;LEF1;RELA;MYC;TCF7L2;TCF7;PIM1	6	KEGG_2021_Human
Salmonella infection	17/249	0.000954747059376634	0.0341307749448742	2.51113762315271	17.4626120250987	PFN1;LEF1;AHNAK;MYC;S100A10;SKP1;ANXA2;RELA;FLNA;RPS3;MYD88;ARPC2;TCF7;PIK3CB;TRADD;TCF7L2;DYNLT3	7	KEGG_2021_Human
Th17 cell differentiation	10/107	0.00105831860294184	0.0341307749448742	3.5138820705831	24.0738655793988	TGFB1;IL23A;RELA;IL27RA;STAT6;SMAD3;NFATC2;RARA;CD247;LAT	8	KEGG_2021_Human
Human immunodeficiency virus 1 infection	15/212	0.00130781482892097	0.0363517784238447	2.60481962534097	17.2944331795288	CALM1;APOBEC3G;SKP1;NFATC2;CXCR4;BID;RELA;MYD88;PXN;PIK3CB;GNAO1;CD247;TRADD;SAMHD1;PTK2B	9	KEGG_2021_Human
Chemokine signaling pathway	14/192	0.00140898365983894	0.0363517784238447	2.6885465104676	17.6500030759874	NCF1;RELA;CXCL16;PXN;RASGRP2;PIK3CB;RAP1A;GRK6;GRK5;CCR7;CXCR5;CXCR4;CXCR3;PTK2B	10	KEGG_2021_Human
