# factor-levels: seurat_clusters=c1|c2|c3|c4|c5|c6|c7|c8|c9|c10|c11|c12|c13

p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
1.67052640700984e-08	1.48615395035085	0.01	0.005	0.00056026114638296	KIR3DL1	c5
5.49333919425869e-08	1.31833957321864	0.022	0.013	0.00184235609897048	NEU4	c5
2.81269557058217e-150	1.25112644357014	0.304	0.173	9.4332184046185e-146	METRNL	c5
1.45646588403233e-30	1.23176513840096	0.064	0.033	4.88469528186764e-26	HES4	c5
5.84159610478425e-41	1.21748720741283	0.107	0.061	1.95915450162254e-36	KIF23	c5
1.6669393603837e-09	1.19271031113109	0.027	0.016	5.59058122685486e-05	GAL3ST2	c5
5.95871805612486e-21	1.11417775092092	0.055	0.031	1.99843486166316e-16	PIK3AP1	c5
2.24326193196553e-26	1.0962140562021	0.096	0.06	7.523451867426e-22	BIK	c5
6.02010608537792e-17	1.07314590682426	0.06	0.037	2.01902317891405e-12	CSF1	c5
0	1.03450749334049	0.924	0.81	0	ZFP36	c5
0	1.01854016786224	0.78	0.548	0	CREM	c5
1.35578562338934e-225	1.01682361803925	0.455	0.267	4.54703382372318e-221	ZNF331	c5
2.30159712422011e-07	0.982584170111982	0.022	0.013	0.00771909643520941	ERRFI1	c5
1.01331643785644e-45	0.965483214472318	0.145	0.088	3.39846066928294e-41	NR4A3	c5
5.03703600533954e-22	0.962299065328603	0.099	0.066	1.68932113547077e-17	FAM122C	c5
2.53187946475932e-283	0.955514461156052	0.661	0.487	8.49141734890981e-279	NEU1	c5
0	0.949449179715069	0.811	0.625	0	DUSP2	c5
1.07956503590159e-97	0.939410094157356	0.334	0.227	3.62064521740676e-93	VPS37B	c5
5.87306511924745e-15	0.896791052328993	0.063	0.04	1.96970857969321e-10	IER5L	c5
7.24807000236773e-11	0.879006423687651	0.058	0.04	2.43085771739409e-06	PER2	c5
3.7637594138361e-25	0.873596307054321	0.14	0.099	1.26228963221235e-20	KMT5C	c5
4.12399062414004e-11	0.871070356379132	0.067	0.047	1.38310397552408e-06	AC010616.1	c5
1.0003122926525e-27	0.865301963724	0.149	0.104	3.35484736709795e-23	ITPRIP	c5
7.13598167619299e-85	0.854958336901538	0.36	0.262	2.3932655345616e-80	NBL1	c5
2.67448592593893e-72	0.853978869918694	0.343	0.255	8.96969089841398e-68	PDE4B	c5
1.12877727084709e-63	0.850353219132792	0.291	0.209	3.78569321096698e-59	DUSP10	c5
7.55841293474718e-09	0.839648853010567	0.045	0.031	0.000253494053005551	TRGV2	c5
1.5558875933678e-18	0.835544337522179	0.121	0.088	5.21813581063694e-14	GFOD1	c5
1.08578612712944e-28	0.827975943660942	0.152	0.106	3.6415095131667e-24	BAIAP2	c5
3.61187856180555e-152	0.826076743296685	0.532	0.4	1.21135183205835e-147	KDM6B	c5
1.01179798970233e-98	0.818629143663431	0.412	0.306	3.39336809786368e-94	TENT5C	c5
1.86135408392317e-15	0.810037656639549	0.132	0.101	6.24260932666152e-11	FOSL2	c5
3.24961377756517e-224	0.808229050743917	0.736	0.613	1.08985546871981e-219	TUBA4A	c5
1.15327457806729e-09	0.791186868779692	0.099	0.078	3.86785227992207e-05	ZBTB32	c5
3.63835368004076e-95	0.790501287984672	0.468	0.373	1.22023105721207e-90	NAMPT	c5
1.14672690874709e-67	0.788296208229803	0.353	0.264	3.845892706556e-63	GEM	c5
4.10490973604555e-90	0.778521534064279	0.42	0.324	1.37670462727496e-85	PTP4A1	c5
3.19307927063094e-44	0.77254756998082	0.251	0.182	1.0708949257842e-39	CDKN1A	c5
1.97090358590914e-145	0.76565468108979	0.331	0.19	6.61001644642206e-141	NR4A2	c5
1.52573117107671e-234	0.763761924770079	0.758	0.631	5.11699720155708e-230	SLC7A5	c5
2.69947572741226e-149	0.756713069350516	0.585	0.449	9.05350169459523e-145	SLA2	c5
1.57838349886974e-07	0.750136110119541	0.044	0.031	0.00529358257850935	MAFF	c5
5.07596130908533e-165	0.747556409301757	0.638	0.513	1.70237590384104e-160	JUND	c5
1.35600860587456e-72	0.745022719238278	0.347	0.256	4.54778166238209e-68	SERTAD1	c5
1.64692162940804e-09	0.743401926721168	0.072	0.053	5.52344576070868e-05	MAP1A	c5
0	0.741525394263317	0.936	0.814	0	DUSP4	c5
1.17146444840714e-95	0.737453946416998	0.485	0.385	3.92885746706787e-91	SLC2A3	c5
3.76547418835694e-93	0.73676056714262	0.401	0.294	1.26286473329115e-88	CSRNP1	c5
5.04630029210679e-45	0.727233273534384	0.264	0.196	1.69242819196678e-40	PER1	c5
1.8750099720258e-49	0.717241435049539	0.354	0.287	6.28840844418011e-45	PIK3R1	c5
1.28957738066137e-74	0.714557417850063	0.48	0.4	4.3249846192621e-70	PDCD1	c5
5.89470980877074e-36	0.712392381374986	0.27	0.213	1.97696777566553e-31	UBE2S	c5
3.94639025471816e-24	0.709359866816223	0.203	0.158	1.32354036362738e-19	WHRN	c5
2.26554732919982e-177	0.706345523185508	0.669	0.545	7.59819263267035e-173	STAT5A	c5
6.25393506496574e-36	0.698761823386097	0.279	0.22	2.09744474208821e-31	TUBB2A	c5
2.49616127759075e-136	0.695925329927491	0.591	0.466	8.37162569278386e-132	TNFRSF9	c5
6.96587919619555e-17	0.694670313205924	0.164	0.13	2.33621656482007e-12	GTPBP1	c5
1.59914984779259e-249	0.693428816118616	0.852	0.77	5.36322875952678e-245	CXCR4	c5
1.04337101230063e-10	0.692064253108377	0.123	0.098	3.49925770105385e-06	SLC25A4	c5
6.26114412279913e-11	0.686456011650054	0.125	0.101	2.09986251590437e-06	SPATA2L	c5
7.01344565864017e-27	0.684430568685244	0.224	0.177	2.35216940499474e-22	GLA	c5
9.43893704369436e-08	0.683076416160556	0.09	0.073	0.00316563070571421	RCOR1	c5
1.10711311346954e-08	0.671500519592153	0.104	0.084	0.000371303595995415	DUSP5	c5
1.0211432701722e-32	0.669000572710595	0.355	0.31	3.42471029950354e-28	TPM4	c5
1.9905411035113e-65	0.664677744210714	0.423	0.347	6.67587675295618e-61	KPNA2	c5
9.11883321101443e-51	0.656581288913049	0.39	0.325	3.05827428231002e-46	SLC16A3	c5
2.27802969864036e-117	0.656135852450254	0.611	0.503	7.64005600330004e-113	TSPYL2	c5
4.82725318195903e-33	0.655116756480536	0.278	0.223	1.61896417216542e-28	PMEPA1	c5
4.49302572430261e-47	0.653645397676052	0.343	0.276	1.50687096741661e-42	NAB1	c5
1.4355422715034e-13	0.652230583380832	0.133	0.104	4.8145216701681e-09	SOCS3	c5
5.41007517014207e-228	0.647257136797404	0.781	0.674	1.81443101056225e-223	YPEL5	c5
2.82874546737876e-230	0.645537116279642	0.845	0.768	9.48704654849489e-226	MCL1	c5
5.67626485663463e-22	0.639735577591961	0.088	0.056	1.90370570761812e-17	TNFSF9	c5
6.7368673496486e-121	0.626276124301711	0.643	0.562	2.25941057172515e-116	GLUD1	c5
1.51018589504406e-233	0.626088126072211	0.931	0.885	5.06486145479876e-229	SQSTM1	c5
1.31399497990733e-08	0.62551413886517	0.107	0.087	0.000440687636361319	WDR47	c5
4.37579233962166e-17	0.619989794429909	0.149	0.114	1.46755323486231e-12	MYLIP	c5
4.23661221380918e-34	0.61608033456926	0.295	0.24	1.42087500426732e-29	DDIT3	c5
1.11380574983973e-38	0.614389367947985	0.332	0.273	3.73548172381249e-34	TRAF4	c5
2.48251627692562e-36	0.610871262008921	0.378	0.325	8.32586308955314e-32	INSIG1	c5
1.59358444313248e-60	0.608599210971073	0.463	0.39	5.3445635053777e-56	SERPINB9	c5
8.42777157704573e-13	0.602813672747259	0.159	0.13	2.8265060315096e-08	RASGEF1B	c5
1.9306566037097e-25	0.599541014417631	0.296	0.254	6.47503611752158e-21	B4GALT1	c5
7.39258526307221e-24	0.591664012678737	0.244	0.198	2.47932524552916e-19	ARL4A	c5
2.07883440432182e-52	0.58712848132306	0.448	0.384	6.97199482521453e-48	CHST12	c5
2.79549273163231e-21	0.583235901100553	0.258	0.218	9.37552352334843e-17	SLC1A5	c5
1.55324766603239e-14	0.582609994960719	0.16	0.128	5.20928202233945e-10	ELL2	c5
1.36063268922448e-111	0.57745148202002	0.25	0.136	4.56328991312105e-107	FOS	c5
4.28582274010568e-205	0.575139456999576	0.847	0.733	1.43737923057664e-200	CST7	c5
4.39716968404206e-08	0.571320106362739	0.141	0.121	0.00147472276863403	RRP12	c5
1.46117331046362e-30	0.571078951881399	0.524	0.491	4.9004830486329e-26	OASL	c5
3.97729861857811e-223	0.570861902054174	0.875	0.774	1.33390641069873e-218	MYADM	c5
3.61447386036719e-11	0.569951283783296	0.168	0.142	1.21222224328995e-06	KLHL21	c5
3.7571567511585e-63	0.566942891288817	0.466	0.377	1.26007523120354e-58	DDIT4	c5
1.19834072032114e-165	0.566253885948979	0.752	0.667	4.01899510781302e-161	SELENOK	c5
6.63188231841524e-45	0.566157701789552	0.419	0.364	2.2242006919501e-40	JMJD6	c5
5.35090239335796e-45	0.564197239456022	0.406	0.346	1.79458564468439e-40	BICDL1	c5
3.45189474343458e-12	0.563699470082279	0.185	0.158	1.15769645905309e-07	JMY	c5
2.4189278401819e-12	0.563083321923315	0.199	0.172	8.11260019040206e-08	TGIF2	c5
1.98117713567801e-73	0.55936224044348	0.559	0.495	6.64447187763691e-69	MAPRE2	c5
2.05348726442774e-251	0.559096388355431	0.924	0.87	6.88698558743776e-247	ADGRE5	c5
7.40469951989913e-13	0.557729096906517	0.184	0.152	2.48338812498377e-08	SLAMF7	c5
7.46265865668026e-57	0.556058737172573	0.494	0.429	2.50282646027743e-52	IVNS1ABP	c5
5.20174429363843e-08	0.551602619976021	0.144	0.124	0.00174456100120046	ZHX2	c5
2.47072558581269e-07	0.549332285029659	0.129	0.109	0.00828631946969861	MLF1	c5
1.4831567301112e-13	0.548653949919412	0.222	0.194	4.97421104144694e-09	H2AFX	c5
2.66856140412552e-94	0.546584992676896	0.372	0.253	8.94982123715617e-90	DUSP1	c5
1.39613701057777e-09	0.546132448427657	0.182	0.16	4.68236430607574e-05	ABCG1	c5
1.25941551894448e-61	0.545991581711492	0.214	0.133	4.22382776743601e-57	FOSB	c5
1.65942148420699e-34	0.543257872583935	0.37	0.317	5.56536777373339e-30	CEMIP2	c5
3.40421630131198e-17	0.542325356399194	0.19	0.152	1.14170606313401e-12	WIPF3	c5
2.65188733279695e-84	0.541558080050256	0.646	0.574	8.89389973673441e-80	ODC1	c5
5.17778540885979e-31	0.541237750918165	0.366	0.321	1.7365256704234e-26	SLC38A2	c5
1.5669356649401e-53	0.540863766269	0.43	0.357	5.2551888330761e-49	MARCKSL1	c5
1.21217638809539e-58	0.540577512128926	0.511	0.459	4.0653971703943e-54	EIF4A3	c5
4.41495092351039e-19	0.540029488601009	0.435	0.413	1.48068624072692e-14	ISG15	c5
2.31643598785648e-15	0.53908434292132	0.243	0.211	7.76886301607307e-11	SIK3	c5
1.27646549080556e-08	0.534430828408304	0.171	0.15	0.000428100996306369	DUSP16	c5
1.47024572205689e-06	0.533407009604352	0.171	0.156	0.0493091010263441	POLR3E	c5
1.22028839213619e-15	0.53244734694703	0.243	0.212	4.09260320954635e-11	MKNK2	c5
5.06245949369615e-12	0.531359847950757	0.188	0.16	1.69784766499581e-07	SKI	c5
6.15120664904032e-166	0.530635066376145	0.782	0.687	2.06299168595514e-161	PPP1R15A	c5
4.74559313768766e-27	0.528218102232465	0.345	0.302	1.59157702651769e-22	IL21R	c5
2.77778198513407e-12	0.524070122811972	0.195	0.167	9.31612522174264e-08	NEDD9	c5
7.65561719116612e-32	0.523956811801872	0.491	0.469	2.56754089357329e-27	LDLRAD4	c5
2.05691088589747e-12	0.522243886187632	0.205	0.177	6.89846772912295e-08	MIDN	c5
1.10019571175395e-07	0.521728706212651	0.183	0.165	0.00368983637808038	MTFP1	c5
1.12299681898447e-47	0.521675983466077	0.427	0.359	3.76630673151012e-43	GGA2	c5
1.27557601949958e-69	0.520891161905322	0.557	0.505	4.27802685419771e-65	CSNK1D	c5
2.52151140544677e-154	0.520395724841768	0.835	0.74	8.45664495158738e-150	RGCC	c5
5.26344152065182e-35	0.51592597077936	0.37	0.319	1.76525301719621e-30	IFRD1	c5
1.71735599055021e-48	0.515680834791689	0.511	0.461	5.75966852110729e-44	SRRT	c5
2.34593555050436e-183	0.513821856203005	0.84	0.76	7.86779864928151e-179	TNFAIP3	c5
4.30746688859994e-23	0.51329812863814	0.307	0.267	1.44463824509865e-18	RALGAPA1	c5
2.802734873822e-08	0.512551732599268	0.194	0.174	0.000939981221982423	MEF2D	c5
9.23101209423601e-12	0.512325200452974	0.208	0.182	3.09589683616487e-07	GFPT1	c5
4.24383345261236e-147	0.511313306809613	0.83	0.777	1.42329686333713e-142	SRSF7	c5
2.21740730498242e-15	0.510989142795249	0.188	0.152	7.43674061945004e-11	AC243829.4	c5
1.50147926267248e-07	0.510621223013135	0.184	0.166	0.00503566115115096	PPP1R15B	c5
7.01083820467618e-07	0.51021528253618	0.164	0.146	0.023512949170843	ATG2A	c5
6.38751582399008e-10	0.506796559724471	0.228	0.205	2.14224505704979e-05	IRF4	c5
4.62134426461708e-10	0.50642708425329	0.23	0.206	1.54990643946728e-05	NUSAP1	c5
1.17590707868578e-28	0.506276767439782	0.377	0.343	3.94375716049637e-24	PAF1	c5
2.13507937777946e-33	0.505016709001482	0.388	0.339	7.16062921719676e-29	ZEB2	c5
0	0.504156397403251	0.998	0.993	0	H3F3B	c5
6.19224475033652e-23	0.503464555091247	0.352	0.317	2.07675504436786e-18	DDX3Y	c5
2.23638901133842e-08	0.502028027702607	0.217	0.2	0.00075004014662268	WIPF2	c5
4.29624171137696e-28	0.50141961587555	0.361	0.321	1.4408735451616e-23	RAB8B	c5
2.5546491478213e-29	0.499267209366473	0.401	0.362	8.56778231196308e-25	PDE4D	c5
1.70999081941873e-31	0.499167223703978	0.387	0.341	5.73496721016655e-27	SNHG15	c5
7.55523058451495e-09	0.49609166443401	0.217	0.197	0.000253387323343462	CDC37L1	c5
2.61654677956134e-11	0.496001148390302	0.258	0.237	8.77537458929283e-07	BACH1	c5
4.26515079344706e-82	0.495804821122574	0.66	0.593	1.43044627310627e-77	SYTL3	c5
2.51347584298026e-08	0.495707692145761	0.214	0.195	0.000842969528218718	PEA15	c5
8.56870922545844e-146	0.495229846447864	0.851	0.761	2.87377370003425e-141	LMNA	c5
5.30601166923982e-14	0.495065759742476	0.268	0.241	1.77953019362965e-09	SKIL	c5
1.59481973323924e-09	0.494167785566706	0.234	0.215	5.34870642133778e-05	TICAM1	c5
4.4269383810292e-150	0.494123526815203	0.85	0.777	1.48470659422957e-145	TGFB1	c5
4.95058387630211e-14	0.491804053472542	0.253	0.225	1.6603268204342e-09	RBM38	c5
1.42675093242884e-31	0.488595800664011	0.421	0.384	4.78503727717986e-27	AMD1	c5
2.54632463043747e-22	0.488468185541113	0.353	0.323	8.53986354556119e-18	OAT	c5
2.28811484617767e-07	0.486523888795647	0.169	0.15	0.00767387957111066	ERO1B	c5
7.24036518693082e-34	0.485982288380434	0.415	0.37	2.42827367639286e-29	CYSTM1	c5
7.79393573987095e-11	0.485077287827992	0.203	0.177	2.61393016843792e-06	ITPRIPL1	c5
4.97777032348479e-25	0.4850575151233	0.387	0.356	1.66944461109033e-20	RANBP2	c5
3.8805477302119e-32	0.484725315418857	0.413	0.372	1.30145809775847e-27	NUP98	c5
8.75452664249141e-08	0.479091929964742	0.161	0.142	0.00293609314535877	HEXIM1	c5
4.65293339615224e-24	0.478842115182613	0.364	0.331	1.56050080240154e-19	ETF1	c5
1.88630510344508e-09	0.477528482623332	0.258	0.241	6.3262900559341e-05	KIF21A	c5
9.87914499569115e-09	0.477071036119709	0.246	0.229	0.00033132676486549	GPR65	c5
2.5295079831878e-30	0.476608399021115	0.441	0.405	8.48346387401525e-26	STARD7	c5
1.72475783708479e-12	0.476507251087064	0.305	0.279	5.78449283401498e-08	PMAIP1	c5
8.70292647801263e-07	0.474905891340637	0.21	0.194	0.0291878748219588	TSHZ2	c5
1.51607451617533e-21	0.47379978807767	0.373	0.345	5.08461071234883e-17	CHD1	c5
1.37007231128183e-36	0.470613446888623	0.48	0.442	4.594948517577e-32	POLR2A	c5
