p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	3.17238226680659	0.136	0.021	0	CAV1	c7
0	2.83264489484933	0.112	0.018	0	B3GNT5	c7
0	2.49404601060468	0.181	0.036	0	ENC1	c7
0	2.18513831399652	0.257	0.064	0	DKK3	c7
0	1.97943872803012	0.41	0.126	0	TCF7	c7
0	1.37333013261829	0.676	0.344	0	GZMK	c7
0	1.34840006197016	0.54	0.248	0	CCR7	c7
0	1.3464284161373	0.544	0.261	0	ZNF331	c7
0	1.12475402095752	0.9	0.62	0	DUSP2	c7
0	0.864275783355458	0.781	0.551	0	CREM	c7
0	0.8475295097273	0.907	0.766	0	CXCR4	c7
0	0.304340090856091	1	1	0	EEF1A1	c7
6.25871429118971e-307	1.06776781601387	0.789	0.61	2.0990475989792e-302	TUBA4A	c7
2.98402746896335e-305	0.731115474591853	0.925	0.756	1.00078313254093e-300	LMNA	c7
2.43096200258976e-272	1.37753200325886	0.496	0.281	8.15296036428554e-268	CNIH1	c7
1.01570558287526e-244	0.554236279800029	0.969	0.926	3.40647338384706e-240	EZR	c7
4.30267926971131e-243	2.58020956202602	0.12	0.026	1.44303257347578e-238	CADM1	c7
3.97445089523633e-236	0.570919067112971	0.958	0.891	1.33295134124436e-231	LDHA	c7
2.93045475448009e-232	0.344661101934885	0.997	0.984	9.82815915557534e-228	RPL3	c7
1.10378868714799e-228	1.80342815473268	0.187	0.059	3.70188649895693e-224	TMEM9	c7
5.26022335577805e-224	2.17331941320571	0.132	0.033	1.76417370906084e-219	CHI3L2	c7
8.91337592159471e-221	0.716793339564817	0.904	0.813	2.98936801658443e-216	ZFP36	c7
2.31796437782516e-220	0.711912860011131	0.822	0.672	7.77398893035004e-216	YPEL5	c7
6.33372276304195e-213	1.38480031588227	0.387	0.203	2.12420394026901e-208	CMC1	c7
1.63979125095702e-209	0.628669034724803	0.883	0.732	5.49953189745965e-205	CST7	c7
3.3105188585337e-207	2.01526606890985	0.141	0.039	1.11028181477503e-202	FAAH2	c7
1.75797343766403e-190	3.37602334846842	0.048	0.005	5.89589131523764e-186	CDH1	c7
8.19795807106071e-190	0.760477800621576	0.37	0.188	2.74943117787234e-185	NR4A2	c7
7.94648851982404e-188	1.30333727301592	0.28	0.126	2.66509331977859e-183	XCL1	c7
1.3608977660577e-185	0.606817605599871	0.872	0.776	4.56417892780433e-181	TGFB1	c7
5.29591634550182e-184	1.25070884254414	0.312	0.151	1.7761444239544e-179	BANP	c7
6.22952515668587e-183	0.374405214206225	0.997	0.988	2.08925814704931e-178	MT-CO3	c7
1.51644431235474e-182	0.527328727145549	0.904	0.819	5.08585093477533e-178	DUSP4	c7
