Term	Overlap	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Rank	Database
Parkinson disease	107/249	9.95798436409943e-27	3.11684910596312e-24	4.40694897540583	263.850305509121	TRAP1;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;CALM3;TP53;UQCR11;UBE2L3;PSMD7;PSMD8;PSMD6;PSMD3;PSMD1;COX8A;COX7A2L;TXN;UBE2J1;UBE2J2;ATP5F1D;ATP5F1E;COX6C;COX7B;MAOB;ATP5PD;ATP5PB;COX6B1;PSMA6;PSMA3;NDUFAB1;PSMA1;ATP5PO;COX5A;NDUFA13;NDUFA10;COX5B;PSMB7;ATP5F1A;ATP5F1B;PSMB5;TUBA1C;ATP5F1C;PSMB6;PSMB3;PSMB1;PSMB2;SDHB;SDHC;UQCRQ;PPIF;NDUFB11;PARK7;COX6A1;TUBB6;KIF5C;NDUFV2;EIF2S1;SEM1;BCL2L1;TXN2;ATP5MC3;HTRA2;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;EIF2AK3;NDUFS8;NDUFS6;NDUFS4;CYCS;NFE2L2;PSMD11;NDUFB9;PSMD13;PSMD12;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;KLC2;ITPR1;CASP9;UQCRFS1;COX4I1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRHL;VDAC2;VDAC1;SLC25A6;SLC25A5	1	KEGG_2021_Human
Ribosome	79/158	2.72491621440493e-25	4.26449387554372e-23	5.81387362637363	328.845422622451	RPL22;RPS8;RPL21;RPS9;RPS6;RPL23;RPS7;MRPS18C;MRPS18A;RPSA;RPL22L1;RPL27;RPL29;RPL26L1;RPL11;RPL10;RPL12;RPL15;RPL14;RPS5;RPL17;RPS2;RPL18;RPS28;RPS21;RPS23;RPS24;RPL5;RPL6;RPL3;RPL31;RPL4;RPL32;RPL35;MRPL15;MRPL16;MRPL13;RPL9;MRPL11;RPL7;RPL8;RPS16;MRPL21;MRPL4;MRPL3;RPS18;RPS17;MRPL9;RPS19;RPL37;RPL36;RPS13;MRPL28;MRPS2;MRPL27;RPS3A;MRPL24;MRPL22;MRPS6;MRPL23;MRPL32;MRPS9;RPL37A;MRPS16;MRPS17;MRPS15;MRPS12;MRPS11;MRPL35;MRPL36;RPL36A;MRPS21;RPLP0;RPLP2;RPLP1;RPL10A;RPS4X;RPL18A;RPL7A	2	KEGG_2021_Human
Prion disease	108/273	1.92057108056826e-23	2.00379582739289e-21	3.82419827830858	200.031706665268	PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;UQCR11;PSMD7;PSMD8;PSMD6;PSMD3;PSMD1;COX8A;PRKCD;COX7A2L;PPP3R1;ATP5F1D;ATP5F1E;COX6C;COX7B;STIP1;ATP5PD;ATP5PB;CSNK2A3;COX6B1;PSMA6;PSMA3;NDUFAB1;PSMA1;ATP5PO;COX5A;NDUFA13;NDUFA10;COX5B;PSMB7;ATP5F1A;ATP5F1B;PSMB5;TUBA1C;ATP5F1C;PSMB6;PSMB3;PSMB1;PSMB2;RAC1;RAC2;SDHB;SDHC;UQCRQ;PPIF;NDUFB11;COX6A1;TUBB6;KIF5C;NDUFV2;EIF2S1;CREB3;CREB1;SEM1;NCF2;NCF4;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;CAV2;CAV1;EIF2AK3;NDUFS8;PIK3CA;NDUFS6;NDUFS4;CYCS;PSMD11;NDUFB9;PSMD13;PSMD12;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;KLC2;ITPR1;CASP9;UQCRFS1;COX4I1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;SOD1;UQCRHL;VDAC2;VDAC1;SLC25A6;SLC25A5	3	KEGG_2021_Human
Huntington disease	110/306	5.1562469281382e-20	3.37386709013647e-18	3.27520560462991	145.456770405411	PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;TP53;UQCR11;PSMD7;PSMD8;PSMD6;PSMD3;NRBF2;PSMD1;COX8A;COX7A2L;ATP5F1D;ATP5F1E;COX6C;COX7B;CLTA;ACTR1B;ATG101;ATP5PD;ATP5PB;COX6B1;PSMA6;PSMA3;NDUFAB1;PSMA1;ATP5PO;HIP1;COX5A;NDUFA13;NDUFA10;COX5B;PSMB7;ATP5F1A;ATP5F1B;PSMB5;TUBA1C;ATP5F1C;PSMB6;PSMB3;PSMB1;PSMB2;SDHB;SDHC;UQCRQ;PPIF;NDUFB11;COX6A1;TUBB6;KIF5C;NDUFV2;CREB3;CREB1;SEM1;DNAL1;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;AP2M1;GPX7;NDUFS8;NDUFS6;NDUFS4;CYCS;PSMD11;NDUFB9;PSMD13;PSMD12;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;KLC2;ITPR1;CASP9;UQCRFS1;COX4I1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;SOD1;UQCRHL;VDAC2;VDAC1;SLC25A6;SLC25A5;DCTN2;HDAC2;POLR2E;POLR2H;POLR2K;POLR2L	4	KEGG_2021_Human
Diabetic cardiomyopathy	84/203	5.38956404175156e-20	3.37386709013647e-18	4.10125660171189	181.961425126615	UQCRC2;UQCRC1;UQCR11;COX8A;PRKCD;PRKCA;COX7A2L;PRKCZ;PDK3;ATP5F1D;ATP5F1E;COX6C;COX7B;CTSD;PPARA;ATP5PD;ATP5PB;COX6B1;NDUFAB1;ATP5PO;COX5A;NDUFA13;NDUFA10;COX5B;ATP5F1A;ATP5F1B;ATP5F1C;RAC1;RAC2;G6PD;GSR;SDHB;SDHC;PPP1CA;UQCRQ;PPIF;NDUFB11;COX6A1;NDUFV2;SMAD3;NFKB1;NCF2;NCF4;ATP5MC3;AGER;COX7A2;ATP5MC1;ATP5MC2;UQCRH;MPC2;CYC1;MMP9;TGFBR1;NDUFS8;PIK3CA;NDUFS6;NDUFS4;NDUFB9;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;CPT2;UQCRFS1;COX4I1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRHL;TBC1D4;VDAC2;VDAC1;SLC25A6;SLC25A5;GAPDH;ATP2A2	5	KEGG_2021_Human
Amyotrophic lateral sclerosis	122/364	3.56661758272063e-19	1.8605855056526e-17	2.94624786474972	125.149240952679	NUP93;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;TP53;UQCR11;PSMD7;PSMD8;PSMD6;PSMD3;NRBF2;PSMD1;COX8A;RAB39B;COX7A2L;HNRNPA1L2;PPP3R1;NUP62;SEC13;ATP5F1D;ATP5F1E;COX6C;COX7B;ACTR1B;ATG101;ATP5PD;ATP5PB;COX6B1;FIG4;PSMA6;PSMA3;NDUFAB1;PSMA1;ATP5PO;COX5A;NDUFA13;NDUFA10;DERL1;COX5B;PSMB7;ATP5F1A;ATP5F1B;PSMB5;TUBA1C;ATP5F1C;PSMB6;PSMB3;PSMB1;PSMB2;ANXA7;RAC1;ALYREF;SDHB;SDHC;UQCRQ;SRSF3;SQSTM1;NDUFB11;TANK;COX6A1;TUBB6;KIF5C;NDUFV2;MAP2K3;CHCHD10;EIF2S1;SEM1;BCL2L1;DNAL1;VCP;ACTG1;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;GPX7;EIF2AK3;NDUFS8;NDUFS6;NDUFS4;CYCS;PSMD11;NDUFB9;PSMD13;SEH1L;PSMD12;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;KLC2;CASP9;UQCRFS1;COX4I1;CASP1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ANXA11;SOD1;UQCRHL;MATR3;VDAC1;DCTN2;UBQLN1;HNRNPA1	6	KEGG_2021_Human
Thermogenesis	89/232	1.57927906145423e-18	7.06163351764533e-17	3.61716780807063	148.266128550618	ACSL3;ACSL4;SMARCA2;UQCRC2;UQCRC1;SMARCB1;ADCY3;UQCR11;COX8A;COX7A2L;NDUFAF8;GRB2;NDUFAF2;MLST8;SIRT6;ATP5F1D;ATP5F1E;COX6C;MGLL;ATP5ME;COX7B;ATP5MF;ATP5PD;ATP5PB;COX6B1;NDUFAB1;ATP5PO;COX5A;NDUFA13;NDUFA10;PRKAG2;PRKAG1;COX5B;ATP5F1A;ATP5F1B;ATP5F1C;RPS6;SDHB;SDHC;UQCRQ;COX20;NDUFB11;COX6A1;NRAS;NDUFV2;MAP2K3;CREB3;CREB1;FGFR1;COX17;COX16;ACTG1;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;COA4;COA3;SMARCE1;NDUFS8;NDUFS6;NDUFS4;SOS2;NDUFB9;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;CPT2;UQCRFS1;COX4I1;COA6;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRHL;SMARCD3;RPS6KA1;RPS6KA3	7	KEGG_2021_Human
Oxidative phosphorylation	62/133	3.39677357673268e-18	1.32898766189666e-16	5.04982232074592	203.12256656816	ATP6V1E1;PPA1;SDHB;SDHC;UQCRQ;UQCRC2;UQCRC1;NDUFB11;UQCR11;COX6A1;NDUFV2;COX8A;COX7A2L;COX17;ATP5MC3;COX7A2;ATP5MC1;ATP5MC2;UQCRH;ATP6V1F;CYC1;ATP6V0A2;ATP5F1D;ATP5F1E;COX6C;NDUFS8;NDUFS6;NDUFS4;ATP5ME;NDUFB9;COX7B;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRFS1;COX4I1;ATP5MF;NDUFA9;NDUFA8;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6B1;UQCRHL;NDUFAB1;ATP5PO;COX5A;NDUFA13;NDUFA10;COX5B;ATP5F1A;ATP5F1B;ATP5F1C	8	KEGG_2021_Human
Alzheimer disease	116/369	5.97743047786536e-16	2.07881748841317e-14	2.67220622100017	93.6698352469138	TPTEP2-CSNK1E;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;PSMC1;UQCRC1;CALM3;UQCR11;PSMD7;PSMD8;PSMD6;PSMD3;NRBF2;PSMD1;NCSTN;COX8A;COX7A2L;PPP3R1;PSENEN;ATP5F1D;ATP5F1E;COX6C;COX7B;IDE;ATG101;ATP5PD;ATP5PB;CSNK2A3;COX6B1;PSMA6;PSMA3;NDUFAB1;PSMA1;ATP5PO;COX5A;NDUFA13;CTNNB1;NDUFA10;COX5B;PSMB7;ATP5F1A;ATP5F1B;PSMB5;TUBA1C;ATP5F1C;PSMB6;PSMB3;PSMB1;PSMB2;SDHB;SDHC;UQCRQ;PPIF;PPID;NDUFB11;COX6A1;NRAS;TUBB6;KIF5C;CAPN1;NDUFV2;NFKB1;EIF2S1;SEM1;IRS2;LPL;ATP5MC3;AGER;COX7A2;ATP5MC1;ATP5MC2;UQCRH;CYC1;EIF2AK3;NDUFS8;CDK5;PIK3CA;NDUFS6;NDUFS4;CYCS;PSMD11;RTN4;NDUFB9;PSMD13;PSMD12;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;KLC2;ITPR1;CASP9;UQCRFS1;COX4I1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRHL;VDAC2;VDAC1;SLC25A6;SLC25A5;GAPDH;ATP2A2;HSD17B10	9	KEGG_2021_Human
Pathways of neurodegeneration	132/475	2.47262973044998e-13	7.73933105630843e-12	2.24334998577455	65.1206901347423	TPTEP2-CSNK1E;PSMC4;PSMC5;PSMC2;PSMC3;UQCRC2;BAX;PSMC1;UQCRC1;PSMD7;PSMD8;PSMD6;PSMD3;NRBF2;PSMD1;PRKCA;PPP3R1;ATG101;CSNK2A3;COX6B1;FIG4;PSMA6;PSMA3;PSMA1;NDUFA13;NDUFA10;PSMB7;PSMB5;TUBA1C;PSMB6;PSMB3;PSMB1;PSMB2;UQCRQ;SQSTM1;PARK7;TANK;NRAS;TUBB6;MAP2K3;NFKB1;BCL2L1;UQCRH;GPX7;EIF2AK3;CDK5;NDUFB9;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;KLC2;ITPR1;COX4I1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;ADRM1;NDUFA4;NDUFA3;NDUFA2;NDUFA1;SLC25A6;SLC25A5;HSD17B10;BAK1;TRAP1;CALM3;UQCR11;UBE2L3;COX8A;RAB39B;COX7A2L;UBE2J1;UBE2J2;ATP5F1D;ATP5F1E;COX6C;COX7B;ACTR1B;ATP5PD;ATP5PB;NDUFAB1;ATP5PO;HIP1;COX5A;CTNNB1;DERL1;COX5B;ATP5F1A;ATP5F1B;ATP5F1C;RAC1;SDHB;SDHC;PPIF;PPID;NDUFB11;COX6A1;KIF5C;CAPN1;NDUFV2;EIF2S1;SEM1;DNAL1;VCP;ATP5MC3;HTRA2;AGER;COX7A2;ATP5MC1;ATP5MC2;CYC1;NDUFS8;NDUFS6;NDUFS4;CYCS;PSMD11;PSMD13;PSMD12;CASP9;UQCRFS1;SOD1;UQCRHL;VDAC2;VDAC1;DCTN2;ATP2A2	10	KEGG_2021_Human
