p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	seurat_clusters
0	7.10937940241305	0.044	0.001	0	CDO1	c19
0	4.90580781623542	0.082	0.003	0	MS4A6A	c19
0	-4.65758731818122	0.049	0.57	0	GZMH	c19
0	4.5733155809504	0.087	0.005	0	CD40LG	c19
0	-4.48247205989348	0.067	0.622	0	GZMB	c19
0	4.46859983292807	0.074	0.003	0	CYSLTR1	c19
0	4.35836285604762	0.093	0.005	0	CH25H	c19
0	4.29133741554659	0.086	0.005	0	LINC01281	c19
0	4.24623129695238	0.225	0.016	0	CPM	c19
0	4.12035840868336	0.128	0.009	0	EPHX2	c19
0	4.07214455835694	0.349	0.032	0	CD200	c19
0	4.03293832694553	0.161	0.013	0	ICA1	c19
0	3.83405589957367	0.095	0.007	0	RNF130	c19
0	3.827003457221	0.203	0.018	0	LHFPL6	c19
0	3.79765698111216	0.155	0.013	0	TRABD2A	c19
0	3.74652035042655	0.173	0.016	0	CD79A	c19
0	3.46663894222636	0.509	0.074	0	SESN3	c19
0	3.3989123418381	0.202	0.022	0	BTLA	c19
0	3.26919999688478	0.139	0.014	0	LMO7	c19
0	3.25744204925961	0.303	0.054	0	MAGEH1	c19
0	3.21925517037191	0.179	0.018	0	SCML1	c19
0	-3.19149057304651	0.224	0.721	0	NKG7	c19
0	3.18369725847846	0.451	0.12	0	PGM2L1	c19
0	3.13186493793019	0.42	0.068	0	SELL	c19
0	3.043037148083	0.367	0.056	0	TNFSF8	c19
0	-2.83465181111278	0.427	0.911	0	CCL5	c19
0	2.75845552090181	0.259	0.039	0	FAAH2	c19
0	2.54648110391125	0.257	0.045	0	LEF1	c19
0	2.44168262501555	0.389	0.105	0	GK	c19
0	2.40411238020778	0.274	0.056	0	ARMH1	c19
0	2.23960523233732	0.352	0.084	0	PASK	c19
0	1.9037131836519	0.736	0.244	0	CCR7	c19
0	1.44291447481812	0.829	0.556	0	NDUFV2	c19
0	0.598388680927182	1	0.973	0	EEF1A1	c19
4.45914831292256e-305	0.649654482638986	0.999	0.952	1.49550916118797e-300	RPS8	c19
7.18190318116921e-302	-1.88984842675384	0.38	0.74	2.40866668890053e-297	APOBEC3G	c19
1.41837098068458e-300	-2.09149446958652	0.318	0.718	4.75693259501994e-296	CST7	c19
5.29031544605473e-300	0.590094926223705	0.999	0.949	1.77426599429783e-295	RPS3A	c19
7.70606038286302e-300	4.56463603124742	0.048	0.001	2.5844585312046e-295	DLGAP1	c19
1.43878207905002e-295	3.18203191774291	0.128	0.014	4.82538733671795e-291	APP	c19
6.42110651474084e-292	-1.72460946890828	0.529	0.809	2.15351070291378e-287	HLA-DRB1	c19
9.67443934551125e-292	1.1100769779013	0.859	0.449	3.24461346769756e-287	IL7R	c19
1.35855431798596e-280	2.53250182036751	0.211	0.039	4.55631947166131e-276	DAPP1	c19
6.81556882493996e-268	2.39034786733029	0.224	0.045	2.28580547250836e-263	THADA	c19
4.45470908105794e-263	-4.14715977719737	0.05	0.47	1.49402033160521e-258	CXCR6	c19
1.88732666884345e-259	5.56142697177618	0.054	0.002	6.32971618196717e-255	G0S2	c19
1.21777229013305e-257	0.469615751636987	1	0.957	4.08416470664823e-253	RPL11	c19
