seurat_clusters	Sample	.n	.frac
c1	HPV15_KSA_Tumor	346	0.0433421019666792
c1	HPV15_QVD_Tumor	345	0.0432168357760241
c1	HPV34_KSA_metLN	20	0.00250532381310284
c1	HPV34_PD1pos_Tumor	91	0.0113992233496179
c1	HPV34_PD1pos_metLN	168	0.0210447200300639
c1	HPV34_QVD_Tumor	1303	0.16322184642365
c1	HPV34_QVD_metLN	858	0.107478391582112
c1	HPV37_QVD_metLN	391	0.0489790805461606
c1	HPV42_QVD_Tumor	31	0.00388325191030941
c1	HPV51_KSA_Tumor	57	0.0071401728673431
c1	HPV51_PD1pos_Tumor	1285	0.160967054991858
c1	HPV51_PD1pos_metLN	695	0.0870600025053238
c1	HPV51_QVD_Tumor	350	0.0438431667292998
c1	HPV51_QVD_metLN	164	0.0205436552674433
c1	HPV7_KSA_Tumor	715	0.0895653263184267
c1	HPV7_KSA_metLN	710	0.0889389953651509
c1	HPV7_PD1pos_Tumor	14	0.00175372666917199
c1	HPV7_PD1pos_metLN	435	0.0544907929349868
c1	HPV7_QVD_metLN	5	0.000626330953275711
c2	HPV15_KSA_Tumor	70	0.00998858447488584
c2	HPV15_QVD_Tumor	99	0.0141267123287671
c2	HPV34_KSA_metLN	60	0.00856164383561644
c2	HPV34_PD1pos_Tumor	90	0.0128424657534247
c2	HPV34_PD1pos_metLN	165	0.0235445205479452
c2	HPV34_QVD_Tumor	960	0.136986301369863
c2	HPV34_QVD_metLN	1320	0.188356164383562
c2	HPV37_QVD_metLN	366	0.0522260273972603
c2	HPV42_QVD_Tumor	36	0.00513698630136986
c2	HPV51_KSA_Tumor	71	0.0101312785388128
c2	HPV51_PD1pos_Tumor	1155	0.164811643835616
c2	HPV51_PD1pos_metLN	637	0.0908961187214612
c2	HPV51_QVD_Tumor	204	0.0291095890410959
c2	HPV51_QVD_metLN	141	0.0201198630136986
c2	HPV7_KSA_Tumor	466	0.0664954337899543
c2	HPV7_KSA_metLN	424	0.0605022831050228
c2	HPV7_PD1pos_Tumor	204	0.0291095890410959
c2	HPV7_PD1pos_metLN	524	0.0747716894977169
c2	HPV7_QVD_metLN	16	0.00228310502283105
c3	HPV15_KSA_Tumor	151	0.022014870972445
c3	HPV15_QVD_Tumor	176	0.0256597171599359
c3	HPV34_KSA_metLN	41	0.00597754774748506
c3	HPV34_PD1pos_Tumor	54	0.00787286776498032
c3	HPV34_PD1pos_metLN	156	0.0227438402099431
c3	HPV34_QVD_Tumor	1040	0.151625601399621
c3	HPV34_QVD_metLN	851	0.12407056422219
c3	HPV37_QVD_metLN	351	0.0511736404723721
c3	HPV42_QVD_Tumor	34	0.00495699081498761
c3	HPV51_KSA_Tumor	60	0.00874763084997813
c3	HPV51_PD1pos_Tumor	538	0.0784370899548039
c3	HPV51_PD1pos_metLN	541	0.0788744714973028
c3	HPV51_QVD_Tumor	462	0.0673567575448316
c3	HPV51_QVD_metLN	233	0.0339699664674151
c3	HPV7_KSA_Tumor	663	0.0966613208922583
c3	HPV7_KSA_metLN	972	0.141711619769646
c3	HPV7_PD1pos_Tumor	20	0.00291587694999271
c3	HPV7_PD1pos_metLN	500	0.0728969237498178
c3	HPV7_QVD_metLN	16	0.00233270155999417
c4	HPV15_KSA_Tumor	184	0.0270588235294118
c4	HPV15_QVD_Tumor	208	0.0305882352941176
c4	HPV34_KSA_metLN	31	0.00455882352941176
c4	HPV34_PD1pos_Tumor	43	0.00632352941176471
c4	HPV34_PD1pos_metLN	203	0.0298529411764706
c4	HPV34_QVD_Tumor	1111	0.163382352941176
c4	HPV34_QVD_metLN	919	0.135147058823529
c4	HPV37_QVD_metLN	346	0.0508823529411765
c4	HPV42_QVD_Tumor	24	0.00352941176470588
c4	HPV51_KSA_Tumor	42	0.00617647058823529
c4	HPV51_PD1pos_Tumor	389	0.0572058823529412
c4	HPV51_PD1pos_metLN	390	0.0573529411764706
c4	HPV51_QVD_Tumor	521	0.0766176470588235
c4	HPV51_QVD_metLN	266	0.0391176470588235
c4	HPV7_KSA_Tumor	544	0.08
c4	HPV7_KSA_metLN	1105	0.1625
c4	HPV7_PD1pos_Tumor	7	0.00102941176470588
c4	HPV7_PD1pos_metLN	449	0.0660294117647059
c4	HPV7_QVD_metLN	18	0.00264705882352941
c5	HPV15_KSA_Tumor	170	0.0349506578947368
c5	HPV15_QVD_Tumor	217	0.0446134868421053
c5	HPV34_KSA_metLN	32	0.00657894736842105
c5	HPV34_PD1pos_Tumor	72	0.0148026315789474
c5	HPV34_PD1pos_metLN	213	0.0437911184210526
c5	HPV34_QVD_Tumor	1152	0.236842105263158
c5	HPV34_QVD_metLN	562	0.115542763157895
c5	HPV37_QVD_metLN	242	0.0497532894736842
c5	HPV42_QVD_Tumor	29	0.00596217105263158
c5	HPV51_KSA_Tumor	37	0.00760690789473684
c5	HPV51_PD1pos_Tumor	311	0.0639391447368421
c5	HPV51_PD1pos_metLN	220	0.0452302631578947
c5	HPV51_QVD_Tumor	247	0.05078125
c5	HPV51_QVD_metLN	169	0.0347450657894737
c5	HPV7_KSA_Tumor	326	0.0670230263157895
c5	HPV7_KSA_metLN	635	0.130550986842105
c5	HPV7_PD1pos_Tumor	2	0.000411184210526316
c5	HPV7_PD1pos_metLN	223	0.0458470394736842
c5	HPV7_QVD_metLN	5	0.00102796052631579
c6	HPV15_KSA_Tumor	65	0.014145810663765
c6	HPV15_QVD_Tumor	40	0.00870511425462459
c6	HPV34_KSA_metLN	40	0.00870511425462459
c6	HPV34_PD1pos_Tumor	65	0.014145810663765
c6	HPV34_PD1pos_metLN	130	0.0282916213275299
c6	HPV34_QVD_Tumor	655	0.142546245919478
c6	HPV34_QVD_metLN	532	0.115778019586507
c6	HPV37_QVD_metLN	223	0.0485310119695321
c6	HPV42_QVD_Tumor	8	0.00174102285092492
c6	HPV51_KSA_Tumor	29	0.00631120783460283
c6	HPV51_PD1pos_Tumor	80	0.0174102285092492
c6	HPV51_PD1pos_metLN	205	0.044613710554951
c6	HPV51_QVD_Tumor	543	0.118171926006529
c6	HPV51_QVD_metLN	228	0.0496191512513602
c6	HPV7_KSA_Tumor	671	0.146028291621328
c6	HPV7_KSA_metLN	621	0.135146898803047
c6	HPV7_PD1pos_Tumor	17	0.00369967355821545
c6	HPV7_PD1pos_metLN	430	0.0935799782372144
c6	HPV7_QVD_metLN	13	0.00282916213275299
c7	HPV15_KSA_Tumor	102	0.0232876712328767
c7	HPV15_QVD_Tumor	65	0.0148401826484018
c7	HPV34_KSA_metLN	23	0.00525114155251142
c7	HPV34_PD1pos_Tumor	77	0.0175799086757991
c7	HPV34_PD1pos_metLN	174	0.0397260273972603
c7	HPV34_QVD_Tumor	848	0.193607305936073
c7	HPV34_QVD_metLN	505	0.115296803652968
c7	HPV37_QVD_metLN	350	0.0799086757990868
c7	HPV42_QVD_Tumor	14	0.00319634703196347
c7	HPV51_KSA_Tumor	45	0.0102739726027397
c7	HPV51_PD1pos_Tumor	129	0.0294520547945205
c7	HPV51_PD1pos_metLN	205	0.0468036529680365
c7	HPV51_QVD_Tumor	365	0.0833333333333333
c7	HPV51_QVD_metLN	202	0.0461187214611872
c7	HPV7_KSA_Tumor	519	0.118493150684932
c7	HPV7_KSA_metLN	500	0.114155251141553
c7	HPV7_PD1pos_Tumor	6	0.00136986301369863
c7	HPV7_PD1pos_metLN	247	0.0563926940639269
c7	HPV7_QVD_metLN	4	0.00091324200913242
c8	HPV15_KSA_Tumor	37	0.0105203298265567
c8	HPV15_QVD_Tumor	59	0.0167756610747796
c8	HPV34_KSA_metLN	42	0.0119419960193347
c8	HPV34_PD1pos_Tumor	83	0.0235996588001137
c8	HPV34_PD1pos_metLN	148	0.0420813193062269
c8	HPV34_QVD_Tumor	900	0.255899914700028
c8	HPV34_QVD_metLN	744	0.211543929485357
c8	HPV37_QVD_metLN	161	0.0457776514074495
c8	HPV42_QVD_Tumor	14	0.00398066533977822
c8	HPV51_KSA_Tumor	45	0.0127949957350014
c8	HPV51_PD1pos_Tumor	358	0.1017912994029
c8	HPV51_PD1pos_metLN	165	0.0469149843616719
c8	HPV51_QVD_Tumor	144	0.0409439863520046
c8	HPV51_QVD_metLN	63	0.017912994029002
c8	HPV7_KSA_Tumor	143	0.040659653113449
c8	HPV7_KSA_metLN	189	0.053738982087006
c8	HPV7_PD1pos_Tumor	62	0.0176286607904464
